source	target	relation	source_database
drugbank:DB00818	HGNC:4083	1	drugbank
drugbank:DB00139	HGNC:408	-1	drugbank
drugbank:DB01142	HGNC:278	-1	drugbank
drugbank:DB04846	HGNC:286	1	drugbank
drugbank:DB09238	HGNC:1397	-1	drugbank
drugbank:DB00934	HGNC:1954	-1	drugbank
drugbank:DB00935	HGNC:277	1	drugbank
drugbank:DB00241	HGNC:4087	1	drugbank
drugbank:DB01001	HGNC:286	1	drugbank
drugbank:DB00842	HGNC:4075	1	drugbank
drugbank:DB08995	HGNC:348	1	drugbank
drugbank:DB00714	HGNC:3020	1	drugbank
drugbank:DB00489	HGNC:285	-1	drugbank
drugbank:DB09068	HGNC:5287	1	drugbank
drugbank:DB00508	HGNC:3020	-1	drugbank
drugbank:DB00363	HGNC:1950	-1	drugbank
drugbank:DB01156	HGNC:5297	-1	drugbank
drugbank:DB00285	HGNC:11049	-1	drugbank
drugbank:DB01175	HGNC:283	-1	drugbank
drugbank:DB01409	HGNC:1952	-1	drugbank
drugbank:DB01209	HGNC:8154	-1	drugbank
drugbank:DB01098	HGNC:5006	-1	drugbank
drugbank:DB00321	HGNC:8032	1	drugbank
drugbank:DB00211	HGNC:277	1	drugbank
drugbank:DB01069	HGNC:1953	-1	drugbank
drugbank:DB13746	HGNC:1397	-1	drugbank
drugbank:DB11156	HGNC:1950	-1	drugbank
drugbank:DB00988	HGNC:3024	1	drugbank
drugbank:DB00925	HGNC:277	-1	drugbank
drugbank:DB12010	HGNC:9387	-1	drugbank
drugbank:DB00555	HGNC:8154	-1	drugbank
drugbank:DB00248	HGNC:3020	1	drugbank
drugbank:DB01267	HGNC:3024	-1	drugbank
drugbank:DB09016	HGNC:5182	-1	drugbank
drugbank:DB01577	HGNC:281	1	drugbank
drugbank:DB11986	HGNC:8032	-1	drugbank
drugbank:DB01365	HGNC:288	1	drugbank
drugbank:DB06694	HGNC:282	1	drugbank
drugbank:DB00483	HGNC:1951	-1	drugbank
drugbank:DB00421	HGNC:7978	-1	drugbank
drugbank:DB01396	HGNC:799	-1	drugbank
drugbank:DB00795	HGNC:9236	1	drugbank
drugbank:DB13961	HGNC:10593	-1	drugbank
drugbank:DB00246	HGNC:1951	-1	drugbank
drugbank:DB01136	HGNC:283	-1	drugbank
drugbank:DB04855	HGNC:285	-1	drugbank
drugbank:DB11994	HGNC:435	-1	drugbank
drugbank:DB09167	HGNC:11048	-1	drugbank
drugbank:DB00312	HGNC:16767	-1	drugbank
drugbank:DB01589	HGNC:4076	1	drugbank
drugbank:DB11587	HGNC:286	1	drugbank
drugbank:DB00543	HGNC:5295	-1	drugbank
drugbank:DB00656	HGNC:277	-1	drugbank
drugbank:DB00041	HGNC:6009	1	drugbank
drugbank:DB00599	HGNC:4075	1	drugbank
drugbank:DB00028	HGNC:3620	-1	drugbank
drugbank:DB06216	HGNC:3024	-1	drugbank
drugbank:DB00424	HGNC:1951	-1	drugbank
drugbank:DB12010	HGNC:1078	-1	drugbank
drugbank:DB00540	HGNC:1950	-1	drugbank
drugbank:DB06702	HGNC:1950	-1	drugbank
drugbank:DB01404	HGNC:6018	-1	drugbank
drugbank:DB06616	HGNC:76	-1	drugbank
drugbank:DB00591	HGNC:537	1	drugbank
drugbank:DB06403	HGNC:3179	-1	drugbank
drugbank:DB00947	HGNC:3467	-1	drugbank
drugbank:DB00564	HGNC:10588	-1	drugbank
drugbank:DB01033	HGNC:6053	-1	drugbank
drugbank:DB11760	HGNC:272	-1	drugbank
drugbank:DB00630	HGNC:851	-1	drugbank
drugbank:DB09195	HGNC:5182	-1	drugbank
drugbank:DB00777	HGNC:5293	-1	drugbank
drugbank:DB09128	HGNC:278	-1	drugbank
drugbank:DB00261	HGNC:8778	-1	drugbank
drugbank:DB01586	HGNC:385	1	drugbank
drugbank:DB12010	HGNC:3432	-1	drugbank
drugbank:DB01452	HGNC:8154	1	drugbank
drugbank:DB06594	HGNC:7464	1	drugbank
drugbank:DB00734	HGNC:3025	-1	drugbank
drugbank:DB00281	HGNC:3236	-1	drugbank
drugbank:DB01142	HGNC:11048	-1	drugbank
drugbank:DB09089	HGNC:1953	-1	drugbank
drugbank:DB01144	HGNC:1373	-1	drugbank
drugbank:DB13269	HGNC:10585	-1	drugbank
drugbank:DB00839	HGNC:6257	-1	drugbank
drugbank:DB09241	HGNC:7872	-1	drugbank
drugbank:DB00241	HGNC:4076	1	drugbank
drugbank:DB00921	HGNC:8156	1	drugbank
drugbank:DB00842	HGNC:4083	1	drugbank
drugbank:DB00292	HGNC:4075	1	drugbank
drugbank:DB08814	HGNC:9604	-1	drugbank
drugbank:DB00714	HGNC:3024	1	drugbank
drugbank:DB12010	HGNC:6864	-1	drugbank
drugbank:DB00441	HGNC:12441	-1	drugbank
drugbank:DB01023	HGNC:1397	-1	drugbank
drugbank:DB08895	HGNC:6193	-1	drugbank
drugbank:DB00475	HGNC:4084	1	drugbank
drugbank:DB00363	HGNC:5297	-1	drugbank
drugbank:DB01092	HGNC:800	-1	drugbank
drugbank:DB04843	HGNC:1950	-1	drugbank
drugbank:DB00252	HGNC:1388	-1	drugbank
drugbank:DB01238	HGNC:5291	-1	drugbank
