source	source_node_type	target	target_node_type	edge_type
pubchem.compound:5291	Compound	GO:0008283	Biological Process	induces
pubchem.compound:2244	Compound	GO:0007596	Biological Process	induces
pubchem.compound:156391	Compound	GO:0006954	Biological Process	induces
pubchem.compound:5745	Compound	GO:0006954	Biological Process	induces
pubchem.compound:5745	Compound	GO:0050900	Biological Process	induces
pubchem.compound:5743	Compound	GO:0006954	Biological Process	induces
pubchem.compound:4826	Compound	GO:0042311	Biological Process	induces
pubchem.compound:4826	Compound	GO:0008217	Biological Process	induces
pubchem.compound:2200	Compound	GO:0034776	Biological Process	induces
pubchem.compound:149096	Compound	GO:0006260	Biological Process	induces
pubchem.compound:444036	Compound	GO:0006954	Biological Process	induces
pubchem.compound:3372	Compound	GO:0030252	Biological Process	induces
pubchem.compound:6230	Compound	GO:0032275	Biological Process	induces
pubchem.compound:2564	Compound	GO:0034776	Biological Process	induces
pubchem.compound:54678486	Compound	GO:0007596	Biological Process	induces
pubchem.compound:3957	Compound	GO:0034776	Biological Process	induces
pubchem.compound:4636	Compound	GO:0042310	Biological Process	induces
pubchem.compound:60835	Compound	GO:0051610	Biological Process	induces
pubchem.compound:3162	Compound	GO:0034776	Biological Process	induces
pubchem.compound:4201	Compound	GO:0042311	Biological Process	induces
pubchem.compound:4201	Compound	GO:0008217	Biological Process	induces
pubchem.compound:135398744	Compound	GO:0042311	Biological Process	induces
pubchem.compound:9782	Compound	GO:0006954	Biological Process	induces
pubchem.compound:6216	Compound	GO:0006954	Biological Process	induces
pubchem.compound:3446	Compound	GO:0006936	Biological Process	induces
pubchem.compound:5755	Compound	GO:0006954	Biological Process	induces
pubchem.compound:16362	Compound	GO:0014046	Biological Process	induces
pubchem.compound:13109	Compound	GO:0032275	Biological Process	induces
pubchem.compound:637568	Compound	GO:0006979	Biological Process	induces
pubchem.compound:4976	Compound	GO:0023041	Biological Process	induces
pubchem.compound:5282136	Compound	GO:0001696	Biological Process	induces
pubchem.compound:114905	Compound	GO:0045823	Biological Process	induces
pubchem.compound:54385	Compound	GO:0034776	Biological Process	induces
pubchem.compound:54676537	Compound	GO:0007596	Biological Process	induces
pubchem.compound:236702	Compound	GO:0019370	Biological Process	induces
pubchem.compound:4170	Compound	GO:0055078	Biological Process	induces
pubchem.compound:55191	Compound	GO:0050795	Biological Process	induces
pubchem.compound:33741	Compound	GO:0019233	Biological Process	induces
pubchem.compound:5576	Compound	GO:0007268 	Biological Process	induces
pubchem.compound:24872560	Compound	GO:0006351	Biological Process	induces
pubchem.compound:24872560	Compound	GO:0008283	Biological Process	induces
pubchem.compound:2145	Compound	GO:0008283	Biological Process	induces
pubchem.compound:5339	Compound	GO:0019370	Biological Process	induces
pubchem.compound:5339	Compound	GO:0006954	Biological Process	induces
pubchem.compound:3487	Compound	GO:1904862	Biological Process	induces
pubchem.compound:16197727	Compound	GO:0042438	Biological Process	induces
pubchem.compound:16197727	Compound	GO:0009650	Biological Process	induces
pubchem.compound:25151504	Compound	GO:0019068	Biological Process	induces
