source	source_node_type	target	target_node_type	edge_type
pubchem.compound:10607	Compound	ncbigene:3553	Gene	upregulates
pubchem.compound:10607	Compound	ncbigene:203068	Gene	downregulates
pubchem.compound:10607	Compound	ncbigene:54658	Gene	downregulates
pubchem.compound:10607	Compound	ncbigene:7153	Gene	downregulates
pubchem.compound:10607	Compound	ncbigene:7277	Gene	downregulates
pubchem.compound:10631	Compound	ncbigene:5241	Gene	upregulates
pubchem.compound:10635	Compound	ncbigene:10257	Gene	upregulates
pubchem.compound:10635	Compound	ncbigene:10645	Gene	upregulates
pubchem.compound:10635	Compound	ncbigene:2621	Gene	upregulates
pubchem.compound:10635	Compound	ncbigene:354	Gene	upregulates
pubchem.compound:10635	Compound	ncbigene:367	Gene	downregulates
pubchem.compound:10635	Compound	ncbigene:3757	Gene	upregulates
pubchem.compound:10635	Compound	ncbigene:57468	Gene	upregulates
pubchem.compound:10635	Compound	ncbigene:6720	Gene	upregulates
pubchem.compound:10635	Compound	ncbigene:7276	Gene	upregulates
pubchem.compound:10635	Compound	ncbigene:775	Gene	upregulates
pubchem.compound:10635	Compound	ncbigene:3292	Gene	downregulates
pubchem.compound:10635	Compound	ncbigene:3487	Gene	downregulates
pubchem.compound:10635	Compound	ncbigene:5241	Gene	downregulates
pubchem.compound:10635	Compound	ncbigene:6462	Gene	downregulates
pubchem.compound:10635	Compound	ncbigene:7224	Gene	downregulates
pubchem.compound:10635	Compound	ncbigene:9611	Gene	downregulates
pubchem.compound:107807	Compound	ncbigene:3827	Gene	downregulates
pubchem.compound:107807	Compound	ncbigene:7351	Gene	upregulates
pubchem.compound:107807	Compound	ncbigene:1636	Gene	downregulates
pubchem.compound:107807	Compound	ncbigene:183	Gene	downregulates
pubchem.compound:107807	Compound	ncbigene:3952	Gene	downregulates
pubchem.compound:107807	Compound	ncbigene:5054	Gene	downregulates
pubchem.compound:107807	Compound	ncbigene:9407	Gene	downregulates
pubchem.compound:11625818	Compound	ncbigene:1901	Gene	upregulates
pubchem.compound:11625818	Compound	ncbigene:7124	Gene	upregulates
pubchem.compound:11625818	Compound	ncbigene:4170	Gene	downregulates
pubchem.compound:11625818	Compound	ncbigene:5294	Gene	downregulates
pubchem.compound:11625818	Compound	ncbigene:959	Gene	downregulates
pubchem.compound:11683	Compound	ncbigene:5617	Gene	downregulates
pubchem.compound:11707110	Compound	ncbigene:5604	Gene	downregulates
pubchem.compound:11707110	Compound	ncbigene:5605	Gene	downregulates
pubchem.compound:11707110	Compound	ncbigene:9451	Gene	downregulates
pubchem.compound:12035	Compound	ncbigene:116443	Gene	upregulates
pubchem.compound:12035	Compound	ncbigene:2056	Gene	upregulates
pubchem.compound:12035	Compound	ncbigene:23657	Gene	upregulates
pubchem.compound:12035	Compound	ncbigene:2902	Gene	upregulates
pubchem.compound:12035	Compound	ncbigene:2906	Gene	upregulates
pubchem.compound:12035	Compound	ncbigene:3309	Gene	upregulates
pubchem.compound:12035	Compound	ncbigene:3458	Gene	upregulates
pubchem.compound:12035	Compound	ncbigene:4363	Gene	upregulates
pubchem.compound:12035	Compound	ncbigene:4502	Gene	upregulates
pubchem.compound:12035	Compound	ncbigene:4846	Gene	upregulates
pubchem.compound:12035	Compound	ncbigene:5594	Gene	upregulates
pubchem.compound:12035	Compound	ncbigene:5595	Gene	upregulates
pubchem.compound:12035	Compound	ncbigene:10105	Gene	downregulates
pubchem.compound:12035	Compound	ncbigene:1147	Gene	downregulates
pubchem.compound:12035	Compound	ncbigene:1509	Gene	downregulates
pubchem.compound:12035	Compound	ncbigene:1535	Gene	downregulates
pubchem.compound:12035	Compound	ncbigene:1636	Gene	downregulates
pubchem.compound:12035	Compound	ncbigene:2263	Gene	downregulates
pubchem.compound:12035	Compound	ncbigene:2915	Gene	downregulates
pubchem.compound:12035	Compound	ncbigene:3162	Gene	downregulates
pubchem.compound:12035	Compound	ncbigene:3308	Gene	downregulates
pubchem.compound:12035	Compound	ncbigene:3551	Gene	downregulates
pubchem.compound:12035	Compound	ncbigene:3576	Gene	downregulates
pubchem.compound:12035	Compound	ncbigene:3684	Gene	downregulates
pubchem.compound:12035	Compound	ncbigene:4240	Gene	downregulates
pubchem.compound:12035	Compound	ncbigene:5970	Gene	downregulates
pubchem.compound:12035	Compound	ncbigene:6282	Gene	downregulates
pubchem.compound:12035	Compound	ncbigene:6610	Gene	downregulates
pubchem.compound:12035	Compound	ncbigene:920	Gene	downregulates
pubchem.compound:124087	Compound	ncbigene:3269	Gene	downregulates
pubchem.compound:124087	Compound	ncbigene:6774	Gene	downregulates
pubchem.compound:12560	Compound	ncbigene:4295	Gene	upregulates
pubchem.compound:12560	Compound	ncbigene:50943	Gene	upregulates
pubchem.compound:12560	Compound	ncbigene:1577	Gene	downregulates
pubchem.compound:12560	Compound	ncbigene:3605	Gene	downregulates
pubchem.compound:12560	Compound	ncbigene:3741	Gene	downregulates
pubchem.compound:12560	Compound	ncbigene:3757	Gene	downregulates
pubchem.compound:12560	Compound	ncbigene:90226	Gene	downregulates
pubchem.compound:126941	Compound	ncbigene:1803	Gene	upregulates
pubchem.compound:126941	Compound	ncbigene:3565	Gene	upregulates
pubchem.compound:126941	Compound	ncbigene:3586	Gene	upregulates
pubchem.compound:126941	Compound	ncbigene:4286	Gene	upregulates
pubchem.compound:126941	Compound	ncbigene:471	Gene	upregulates
pubchem.compound:126941	Compound	ncbigene:1719	Gene	downregulates
pubchem.compound:126941	Compound	ncbigene:23463	Gene	downregulates
pubchem.compound:126941	Compound	ncbigene:4194	Gene	downregulates
pubchem.compound:126941	Compound	ncbigene:5471	Gene	downregulates
pubchem.compound:126941	Compound	ncbigene:5981	Gene	downregulates
pubchem.compound:126941	Compound	ncbigene:64146	Gene	downregulates
pubchem.compound:126941	Compound	ncbigene:6868	Gene	downregulates
pubchem.compound:126941	Compound	ncbigene:7298	Gene	downregulates
pubchem.compound:13109	Compound	ncbigene:367	Gene	upregulates
pubchem.compound:13109	Compound	ncbigene:5241	Gene	upregulates
pubchem.compound:13109	Compound	ncbigene:148	Gene	upregulates
pubchem.compound:13109	Compound	ncbigene:1244	Gene	downregulates
pubchem.compound:13109	Compound	ncbigene:6715	Gene	downregulates
pubchem.compound:137	Compound	ncbigene:210	Gene	downregulates
pubchem.compound:137	Compound	ncbigene:3162	Gene	upregulates
pubchem.compound:137	Compound	ncbigene:64710	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:1448	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:1956	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:213	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:2155	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:2290	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:2308	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:231	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:2353	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:2982	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:2983	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:2984	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:2986	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:3000	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:3162	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:3553	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:3576	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:4312	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:4313	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:4322	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:472	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:4780	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:4843	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:4846	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:4881	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:4882	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:5268	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:5743	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:6403	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:6517	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:7076	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:7124	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:7157	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:7432	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:836	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:8651	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:89822	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:973	Gene	upregulates
pubchem.compound:145068	Compound	ncbigene:1392	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:1401	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:1490	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:1756	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:1906	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:1958	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:2152	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:2752	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:3122	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:3383	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:359	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:3592	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:3593	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:3627	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:3667	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:3752	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:3827	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:4953	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:4968	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:857	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:859	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:9360	Gene	downregulates
pubchem.compound:145068	Compound	ncbigene:9407	Gene	downregulates
pubchem.compound:149096	Compound	ncbigene:3553	Gene	upregulates
pubchem.compound:149096	Compound	ncbigene:3558	Gene	upregulates
pubchem.compound:149096	Compound	ncbigene:7153	Gene	downregulates
pubchem.compound:15209	Compound	ncbigene:2908	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:100506658	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:10495	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:1874	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:2353	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:2520	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:2641	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:3162	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:3558	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:467	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:472	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:50508	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:51083	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:5315	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:5594	Gene	downregulates
pubchem.compound:1548943	Compound	ncbigene:5595	Gene	downregulates
pubchem.compound:1548943	Compound	ncbigene:5743	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:623	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:6558	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:6772	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:6863	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:6869	Gene	downregulates
pubchem.compound:1548943	Compound	ncbigene:7132	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:7157	Gene	downregulates
pubchem.compound:1548943	Compound	ncbigene:7350	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:7474	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:836	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:837	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:9407	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:9518	Gene	upregulates
pubchem.compound:1548943	Compound	ncbigene:2194	Gene	downregulates
pubchem.compound:1548943	Compound	ncbigene:23411	Gene	downregulates
