source	target	edge_type	source_node_type	target_node_type
ncbigene:6622	ncbigene:3308	interacts	Gene	Gene
ncbigene:6622	GO:0043065	participates	Gene	Biological Process
ncbigene:3308	GO:0006457	participates	Gene	Biological Process
ncbigene:4804	ncbigene:2885	interacts	Gene	Gene
ncbigene:4804	ncbigene:3265	interacts	Gene	Gene
ncbigene:4804	ncbigene:5290	interacts	Gene	Gene
ncbigene:4804	ncbigene:5295	interacts	Gene	Gene
ncbigene:4804	ncbigene:6464	interacts	Gene	Gene
ncbigene:4804	ncbigene:6654	interacts	Gene	Gene
ncbigene:2885	ncbigene:4233	interacts	Gene	Gene
ncbigene:2885	ncbigene:5781	interacts	Gene	Gene
ncbigene:2885	ncbigene:207	interacts	Gene	Gene
ncbigene:2885	ncbigene:3265	interacts	Gene	Gene
ncbigene:2885	ncbigene:5747	interacts	Gene	Gene
ncbigene:2885	GO:0007165	participates	Gene	Biological Process
ncbigene:3265	GO:0007165	participates	Gene	Biological Process
ncbigene:5290	ncbigene:695	interacts	Gene	Gene
ncbigene:5290	ncbigene:7409	interacts	Gene	Gene
ncbigene:5290	ncbigene:2549	interacts	Gene	Gene
ncbigene:5290	ncbigene:2885	interacts	Gene	Gene
ncbigene:5295	ncbigene:2549	interacts	Gene	Gene
ncbigene:5295	ncbigene:2885	interacts	Gene	Gene
ncbigene:5295	ncbigene:695	interacts	Gene	Gene
ncbigene:5295	ncbigene:7409	interacts	Gene	Gene
ncbigene:5295	ncbigene:998	interacts	Gene	Gene
ncbigene:5295	GO:0050821	participates	Gene	Biological Process
ncbigene:6464	ncbigene:5781	interacts	Gene	Gene
ncbigene:6464	ncbigene:3643	interacts	Gene	Gene
ncbigene:6464	ncbigene:5747	interacts	Gene	Gene
ncbigene:6464	ncbigene:3630	interacts	Gene	Gene
ncbigene:6654	ncbigene:3265	interacts	Gene	Gene
ncbigene:6654	ncbigene:3845	interacts	Gene	Gene
ncbigene:6654	ncbigene:4893	interacts	Gene	Gene
ncbigene:6654	ncbigene:5747	interacts	Gene	Gene
ncbigene:6654	ncbigene:5879	interacts	Gene	Gene
ncbigene:6654	GO:0007165	participates	Gene	Biological Process
ncbigene:4908	ncbigene:4804	interacts	Gene	Gene
ncbigene:4908	ncbigene:3265	interacts	Gene	Gene
ncbigene:4908	ncbigene:5290	interacts	Gene	Gene
ncbigene:4908	ncbigene:5295	interacts	Gene	Gene
ncbigene:4908	ncbigene:5607	interacts	Gene	Gene
ncbigene:4908	ncbigene:6464	interacts	Gene	Gene
ncbigene:4908	ncbigene:6654	interacts	Gene	Gene
ncbigene:4908	GO:0007165	participates	Gene	Biological Process
ncbigene:4908	GO:0007267	participates	Gene	Biological Process
ncbigene:4909	ncbigene:4804	interacts	Gene	Gene
ncbigene:4909	ncbigene:3265	interacts	Gene	Gene
ncbigene:4909	ncbigene:3845	interacts	Gene	Gene
ncbigene:4909	ncbigene:4893	interacts	Gene	Gene
ncbigene:4914	ncbigene:4804	interacts	Gene	Gene
ncbigene:4914	ncbigene:5290	interacts	Gene	Gene
ncbigene:4914	ncbigene:5295	interacts	Gene	Gene
ncbigene:4914	ncbigene:5607	interacts	Gene	Gene
ncbigene:4914	ncbigene:6464	interacts	Gene	Gene
ncbigene:4914	ncbigene:6654	interacts	Gene	Gene
ncbigene:4914	GO:0007275	participates	Gene	Biological Process
ncbigene:4915	ncbigene:4804	interacts	Gene	Gene
ncbigene:4915	ncbigene:3265	interacts	Gene	Gene
ncbigene:4915	ncbigene:3845	interacts	Gene	Gene
ncbigene:4915	ncbigene:4893	interacts	Gene	Gene
ncbigene:4915	GO:0007275	participates	Gene	Biological Process
ncbigene:1020	ncbigene:5058	interacts	Gene	Gene
ncbigene:1020	ncbigene:5604	interacts	Gene	Gene
ncbigene:1020	ncbigene:81565	interacts	Gene	Gene
ncbigene:1020	ncbigene:84152	interacts	Gene	Gene
ncbigene:1020	GO:0006913	participates	Gene	Biological Process
ncbigene:1020	GO:0007005	participates	Gene	Biological Process
ncbigene:1020	GO:0051301	participates	Gene	Biological Process
ncbigene:5058	ncbigene:3984	interacts	Gene	Gene
ncbigene:5058	ncbigene:4214	interacts	Gene	Gene
ncbigene:5058	ncbigene:4216	interacts	Gene	Gene
ncbigene:5058	ncbigene:5604	interacts	Gene	Gene
ncbigene:5058	ncbigene:5894	interacts	Gene	Gene
ncbigene:5058	ncbigene:7786	interacts	Gene	Gene
ncbigene:5058	ncbigene:998	interacts	Gene	Gene
ncbigene:5604	ncbigene:5594	interacts	Gene	Gene
ncbigene:5604	ncbigene:4893	interacts	Gene	Gene
ncbigene:5604	ncbigene:3265	interacts	Gene	Gene
ncbigene:5604	ncbigene:7529	interacts	Gene	Gene
ncbigene:5604	ncbigene:369	interacts	Gene	Gene
ncbigene:5604	ncbigene:8844	interacts	Gene	Gene
ncbigene:5604	GO:0007165	participates	Gene	Biological Process
ncbigene:81565	ncbigene:84643	interacts	Gene	Gene
ncbigene:81565	ncbigene:8655	interacts	Gene	Gene
ncbigene:81565	ncbigene:9183	interacts	Gene	Gene
ncbigene:81565	ncbigene:9184	interacts	Gene	Gene
ncbigene:81565	ncbigene:9212	interacts	Gene	Gene
ncbigene:81565	ncbigene:9735	interacts	Gene	Gene
ncbigene:81565	ncbigene:9793	interacts	Gene	Gene
ncbigene:81565	ncbigene:991	interacts	Gene	Gene
ncbigene:81565	GO:0007059	participates	Gene	Biological Process
ncbigene:84152	GO:0007165	participates	Gene	Biological Process
ncbigene:7531	ncbigene:1020	interacts	Gene	Gene
ncbigene:7531	ncbigene:2810	interacts	Gene	Gene
ncbigene:7531	ncbigene:10971	interacts	Gene	Gene
ncbigene:7531	ncbigene:7529	interacts	Gene	Gene
ncbigene:7531	ncbigene:7532	interacts	Gene	Gene
ncbigene:7531	ncbigene:7533	interacts	Gene	Gene
ncbigene:7531	ncbigene:7534	interacts	Gene	Gene
ncbigene:7531	GO:0006605	participates	Gene	Biological Process
ncbigene:7531	GO:0007165	participates	Gene	Biological Process
ncbigene:995	ncbigene:1020	interacts	Gene	Gene
ncbigene:995	ncbigene:8851	interacts	Gene	Gene
ncbigene:995	ncbigene:5933	interacts	Gene	Gene
ncbigene:995	ncbigene:7027	interacts	Gene	Gene
ncbigene:995	ncbigene:5573	interacts	Gene	Gene
ncbigene:995	ncbigene:5575	interacts	Gene	Gene
ncbigene:995	GO:0008283	participates	Gene	Biological Process
ncbigene:995	GO:0051301	participates	Gene	Biological Process
ncbigene:54205	ncbigene:317	interacts	Gene	Gene
ncbigene:54205	ncbigene:842	interacts	Gene	Gene
ncbigene:54205	ncbigene:598	interacts	Gene	Gene
ncbigene:54205	ncbigene:596	interacts	Gene	Gene
ncbigene:317	ncbigene:836	interacts	Gene	Gene
ncbigene:317	ncbigene:839	interacts	Gene	Gene
ncbigene:317	ncbigene:840	interacts	Gene	Gene
ncbigene:317	ncbigene:7027	interacts	Gene	Gene
ncbigene:317	ncbigene:331	interacts	Gene	Gene
ncbigene:317	GO:0030154	participates	Gene	Biological Process
ncbigene:317	GO:0043065	participates	Gene	Biological Process
ncbigene:842	ncbigene:331	interacts	Gene	Gene
ncbigene:842	GO:0043065	participates	Gene	Biological Process
ncbigene:842	GO:0051604	participates	Gene	Biological Process
ncbigene:836	GO:0006508	participates	Gene	Biological Process
ncbigene:836	GO:0016485	participates	Gene	Biological Process
ncbigene:836	GO:0043065	participates	Gene	Biological Process
ncbigene:836	GO:0051604	participates	Gene	Biological Process
ncbigene:142	ncbigene:9131	interacts	Gene	Gene
ncbigene:142	GO:0007005	participates	Gene	Biological Process
ncbigene:142	GO:0016540	participates	Gene	Biological Process
ncbigene:142	GO:0032880	participates	Gene	Biological Process
ncbigene:142	GO:0050790	participates	Gene	Biological Process
ncbigene:1432	GO:0000902	participates	Gene	Biological Process
ncbigene:1432	GO:0007165	participates	Gene	Biological Process
ncbigene:397	ncbigene:3725	interacts	Gene	Gene
ncbigene:5062	ncbigene:4214	interacts	Gene	Gene
ncbigene:5062	ncbigene:4216	interacts	Gene	Gene
ncbigene:5062	ncbigene:5879	interacts	Gene	Gene
ncbigene:5062	ncbigene:7786	interacts	Gene	Gene
ncbigene:5062	ncbigene:998	interacts	Gene	Gene
ncbigene:5062	ncbigene:6775	interacts	Gene	Gene
ncbigene:5062	GO:0007165	participates	Gene	Biological Process
ncbigene:5591	ncbigene:29110	interacts	Gene	Gene
ncbigene:5591	ncbigene:340061	interacts	Gene	Gene
ncbigene:5591	ncbigene:3661	interacts	Gene	Gene
ncbigene:5591	ncbigene:4193	interacts	Gene	Gene
ncbigene:5591	ncbigene:7157	interacts	Gene	Gene
ncbigene:5591	GO:0043065	participates	Gene	Biological Process
ncbigene:58	ncbigene:1399	interacts	Gene	Gene
ncbigene:58	ncbigene:387	interacts	Gene	Gene
ncbigene:58	ncbigene:5290	interacts	Gene	Gene
ncbigene:58	ncbigene:5295	interacts	Gene	Gene
ncbigene:58	ncbigene:5879	interacts	Gene	Gene
ncbigene:58	ncbigene:6714	interacts	Gene	Gene
ncbigene:58	ncbigene:998	interacts	Gene	Gene
ncbigene:5925	ncbigene:1027	interacts	Gene	Gene
ncbigene:5925	ncbigene:3159	interacts	Gene	Gene
ncbigene:5925	ncbigene:7290	interacts	Gene	Gene
ncbigene:5925	ncbigene:8091	interacts	Gene	Gene
ncbigene:5925	GO:0030154	participates	Gene	Biological Process
ncbigene:5925	GO:0051276	participates	Gene	Biological Process
ncbigene:5925	GO:0051301	participates	Gene	Biological Process
ncbigene:6720	GO:0006629	participates	Gene	Biological Process
ncbigene:839	ncbigene:84823	interacts	Gene	Gene
ncbigene:839	GO:0006508	participates	Gene	Biological Process
ncbigene:839	GO:0016540	participates	Gene	Biological Process
ncbigene:839	GO:0043065	participates	Gene	Biological Process
ncbigene:840	ncbigene:142	interacts	Gene	Gene
ncbigene:840	GO:0006508	participates	Gene	Biological Process
ncbigene:840	GO:0016485	participates	Gene	Biological Process
ncbigene:840	GO:0051604	participates	Gene	Biological Process
ncbigene:1026	ncbigene:1019	interacts	Gene	Gene
ncbigene:1026	ncbigene:894	interacts	Gene	Gene
ncbigene:1026	ncbigene:898	interacts	Gene	Gene
ncbigene:1026	ncbigene:7022	interacts	Gene	Gene
ncbigene:7157	GO:0006914	participates	Gene	Biological Process
ncbigene:7157	GO:0043065	participates	Gene	Biological Process
ncbigene:7157	GO:0050821	participates	Gene	Biological Process
ncbigene:7157	GO:0051276	participates	Gene	Biological Process
ncbigene:1263	ncbigene:5923	interacts	Gene	Gene
ncbigene:1263	ncbigene:7157	interacts	Gene	Gene
ncbigene:1263	ncbigene:7533	interacts	Gene	Gene
ncbigene:1647	ncbigene:1019	interacts	Gene	Gene
ncbigene:1647	ncbigene:5111	interacts	Gene	Gene
ncbigene:1647	ncbigene:595	interacts	Gene	Gene
ncbigene:1647	ncbigene:891	interacts	Gene	Gene
ncbigene:1647	ncbigene:983	interacts	Gene	Gene
ncbigene:1647	GO:0043065	participates	Gene	Biological Process
ncbigene:23523	ncbigene:7157	interacts	Gene	Gene
ncbigene:23523	ncbigene:4001	interacts	Gene	Gene
ncbigene:25842	ncbigene:7157	interacts	Gene	Gene
ncbigene:25842	ncbigene:4001	interacts	Gene	Gene
ncbigene:25946	ncbigene:2810	interacts	Gene	Gene
ncbigene:2810	ncbigene:7531	interacts	Gene	Gene
ncbigene:2810	ncbigene:10971	interacts	Gene	Gene
ncbigene:2810	ncbigene:7529	interacts	Gene	Gene
ncbigene:2810	ncbigene:7532	interacts	Gene	Gene
ncbigene:2810	ncbigene:7533	interacts	Gene	Gene
ncbigene:2810	ncbigene:7534	interacts	Gene	Gene
ncbigene:2810	GO:0007165	participates	Gene	Biological Process
ncbigene:29855	ncbigene:7157	interacts	Gene	Gene
ncbigene:29855	ncbigene:4001	interacts	Gene	Gene
ncbigene:3005	ncbigene:7157	interacts	Gene	Gene
ncbigene:3005	ncbigene:4001	interacts	Gene	Gene
ncbigene:3006	ncbigene:7157	interacts	Gene	Gene
ncbigene:3006	ncbigene:4001	interacts	Gene	Gene
ncbigene:3007	ncbigene:7157	interacts	Gene	Gene
ncbigene:3007	ncbigene:4001	interacts	Gene	Gene
ncbigene:3008	ncbigene:7157	interacts	Gene	Gene
ncbigene:3008	ncbigene:4001	interacts	Gene	Gene
ncbigene:3009	ncbigene:7157	interacts	Gene	Gene
ncbigene:3009	ncbigene:4001	interacts	Gene	Gene
ncbigene:3009	GO:0050821	participates	Gene	Biological Process
ncbigene:3024	ncbigene:7157	interacts	Gene	Gene
ncbigene:3024	ncbigene:4001	interacts	Gene	Gene
ncbigene:3159	ncbigene:7157	interacts	Gene	Gene
ncbigene:3159	ncbigene:4001	interacts	Gene	Gene
ncbigene:355	ncbigene:8837	interacts	Gene	Gene
ncbigene:355	ncbigene:5606	interacts	Gene	Gene
ncbigene:355	ncbigene:5608	interacts	Gene	Gene
ncbigene:355	ncbigene:637	interacts	Gene	Gene
ncbigene:355	ncbigene:6416	interacts	Gene	Gene
ncbigene:355	ncbigene:840	interacts	Gene	Gene
ncbigene:355	GO:0007165	participates	Gene	Biological Process
ncbigene:355	GO:0043065	participates	Gene	Biological Process
ncbigene:4193	ncbigene:4194	interacts	Gene	Gene
ncbigene:4193	ncbigene:1029	interacts	Gene	Gene
ncbigene:4193	ncbigene:1869	interacts	Gene	Gene
ncbigene:4193	ncbigene:3091	interacts	Gene	Gene
ncbigene:4193	ncbigene:5925	interacts	Gene	Gene
ncbigene:4193	ncbigene:7319	interacts	Gene	Gene
ncbigene:4193	GO:0007049	participates	Gene	Biological Process
ncbigene:581	ncbigene:598	interacts	Gene	Gene
ncbigene:581	ncbigene:317	interacts	Gene	Gene
ncbigene:581	ncbigene:54205	interacts	Gene	Gene
ncbigene:581	ncbigene:9131	interacts	Gene	Gene
ncbigene:581	GO:0043065	participates	Gene	Biological Process
ncbigene:604	ncbigene:1445	interacts	Gene	Gene
ncbigene:604	GO:0000902	participates	Gene	Biological Process
ncbigene:604	GO:0043065	participates	Gene	Biological Process
ncbigene:637	ncbigene:54205	interacts	Gene	Gene
ncbigene:637	ncbigene:578	interacts	Gene	Gene
ncbigene:637	ncbigene:581	interacts	Gene	Gene
ncbigene:637	GO:0043065	participates	Gene	Biological Process
ncbigene:7290	ncbigene:7157	interacts	Gene	Gene
ncbigene:7290	ncbigene:4001	interacts	Gene	Gene
ncbigene:7832	ncbigene:3276	interacts	Gene	Gene
ncbigene:7832	ncbigene:595	interacts	Gene	Gene
ncbigene:8091	ncbigene:7157	interacts	Gene	Gene
ncbigene:8091	ncbigene:4001	interacts	Gene	Gene
ncbigene:8091	GO:0007049	participates	Gene	Biological Process
ncbigene:8091	GO:0051301	participates	Gene	Biological Process
ncbigene:834	ncbigene:397	interacts	Gene	Gene
ncbigene:834	GO:0006508	participates	Gene	Biological Process
ncbigene:834	GO:0007165	participates	Gene	Biological Process
ncbigene:834	GO:0016540	participates	Gene	Biological Process
ncbigene:834	GO:0051604	participates	Gene	Biological Process
ncbigene:843	GO:0006508	participates	Gene	Biological Process
ncbigene:843	GO:0051604	participates	Gene	Biological Process
ncbigene:8795	ncbigene:637	interacts	Gene	Gene
ncbigene:8795	ncbigene:836	interacts	Gene	Gene
ncbigene:8795	ncbigene:8837	interacts	Gene	Gene
ncbigene:8795	GO:0043065	participates	Gene	Biological Process
ncbigene:8797	ncbigene:637	interacts	Gene	Gene
ncbigene:8797	ncbigene:836	interacts	Gene	Gene
ncbigene:8797	ncbigene:8837	interacts	Gene	Gene
ncbigene:8797	GO:0007165	participates	Gene	Biological Process
ncbigene:8797	GO:0043065	participates	Gene	Biological Process
ncbigene:8812	ncbigene:1111	interacts	Gene	Gene
ncbigene:8812	ncbigene:472	interacts	Gene	Gene
ncbigene:8812	ncbigene:545	interacts	Gene	Gene
ncbigene:8812	ncbigene:672	interacts	Gene	Gene
ncbigene:8812	GO:0007049	participates	Gene	Biological Process
ncbigene:8812	GO:0051301	participates	Gene	Biological Process
ncbigene:1029	ncbigene:5290	interacts	Gene	Gene
ncbigene:1029	ncbigene:5295	interacts	Gene	Gene
ncbigene:1029	GO:0007049	participates	Gene	Biological Process
ncbigene:332	ncbigene:7157	interacts	Gene	Gene
ncbigene:332	ncbigene:81565	interacts	Gene	Gene
ncbigene:332	ncbigene:9978	interacts	Gene	Gene
ncbigene:596	ncbigene:7157	interacts	Gene	Gene
ncbigene:596	ncbigene:5594	interacts	Gene	Gene
ncbigene:596	ncbigene:5595	interacts	Gene	Gene
ncbigene:596	ncbigene:317	interacts	Gene	Gene
ncbigene:596	GO:0032880	participates	Gene	Biological Process
ncbigene:596	GO:0043065	participates	Gene	Biological Process
ncbigene:596	GO:0043085	participates	Gene	Biological Process
ncbigene:7015	ncbigene:7157	interacts	Gene	Gene
ncbigene:7015	ncbigene:3659	interacts	Gene	Gene
ncbigene:7015	ncbigene:1027	interacts	Gene	Gene
ncbigene:7015	ncbigene:5925	interacts	Gene	Gene
ncbigene:7015	ncbigene:4149	interacts	Gene	Gene
ncbigene:7015	GO:0007005	participates	Gene	Biological Process
ncbigene:7078	ncbigene:7157	interacts	Gene	Gene
ncbigene:7078	GO:0010951	participates	Gene	Biological Process
ncbigene:3586	ncbigene:1230	interacts	Gene	Gene
ncbigene:3586	ncbigene:1234	interacts	Gene	Gene
ncbigene:3586	ncbigene:729230	interacts	Gene	Gene
ncbigene:3586	GO:0007165	participates	Gene	Biological Process
ncbigene:1230	GO:0007155	participates	Gene	Biological Process
ncbigene:1230	GO:0007267	participates	Gene	Biological Process
ncbigene:1234	GO:0007267	participates	Gene	Biological Process
ncbigene:2357	ncbigene:5288	interacts	Gene	Gene
ncbigene:2357	ncbigene:5606	interacts	Gene	Gene
ncbigene:2357	ncbigene:5608	interacts	Gene	Gene
ncbigene:2357	GO:0007165	participates	Gene	Biological Process
ncbigene:4217	ncbigene:5606	interacts	Gene	Gene
ncbigene:4217	ncbigene:5608	interacts	Gene	Gene
ncbigene:4217	ncbigene:5609	interacts	Gene	Gene
ncbigene:4217	ncbigene:637	interacts	Gene	Gene
ncbigene:4217	ncbigene:6416	interacts	Gene	Gene
ncbigene:4217	ncbigene:841	interacts	Gene	Gene
ncbigene:4217	ncbigene:9020	interacts	Gene	Gene
ncbigene:4217	ncbigene:9448	interacts	Gene	Gene
ncbigene:4217	GO:0043065	participates	Gene	Biological Process
ncbigene:7132	ncbigene:1540	interacts	Gene	Gene
ncbigene:7132	ncbigene:27005	interacts	Gene	Gene
ncbigene:7132	ncbigene:56957	interacts	Gene	Gene
ncbigene:7132	ncbigene:7128	interacts	Gene	Gene
ncbigene:7132	ncbigene:7375	interacts	Gene	Gene
ncbigene:1435	ncbigene:3586	interacts	Gene	Gene
ncbigene:1435	ncbigene:3265	interacts	Gene	Gene
ncbigene:1437	ncbigene:3586	interacts	Gene	Gene
ncbigene:1437	GO:0008283	participates	Gene	Biological Process
ncbigene:1440	ncbigene:3586	interacts	Gene	Gene
ncbigene:2208	ncbigene:3586	interacts	Gene	Gene
ncbigene:2919	ncbigene:3586	interacts	Gene	Gene
ncbigene:2919	GO:0007165	participates	Gene	Biological Process
ncbigene:2920	ncbigene:3586	interacts	Gene	Gene
ncbigene:3383	ncbigene:3586	interacts	Gene	Gene
ncbigene:3383	GO:0007155	participates	Gene	Biological Process
ncbigene:3552	ncbigene:3586	interacts	Gene	Gene
ncbigene:3552	ncbigene:11213	interacts	Gene	Gene
ncbigene:3552	ncbigene:107	interacts	Gene	Gene
ncbigene:3552	ncbigene:9448	interacts	Gene	Gene
ncbigene:3553	ncbigene:3586	interacts	Gene	Gene
ncbigene:3553	ncbigene:3596	interacts	Gene	Gene
ncbigene:3553	ncbigene:11213	interacts	Gene	Gene
ncbigene:3553	ncbigene:4615	interacts	Gene	Gene
ncbigene:3553	ncbigene:3554	interacts	Gene	Gene
ncbigene:3553	ncbigene:1432	interacts	Gene	Gene
ncbigene:3553	GO:0007165	participates	Gene	Biological Process
ncbigene:3553	GO:0007267	participates	Gene	Biological Process
ncbigene:3554	ncbigene:3586	interacts	Gene	Gene
ncbigene:3554	ncbigene:3553	interacts	Gene	Gene
ncbigene:3554	ncbigene:11213	interacts	Gene	Gene
ncbigene:3554	ncbigene:4214	interacts	Gene	Gene
ncbigene:3554	ncbigene:6885	interacts	Gene	Gene
ncbigene:3554	ncbigene:7189	interacts	Gene	Gene
ncbigene:3554	ncbigene:9448	interacts	Gene	Gene
ncbigene:3569	ncbigene:9021	interacts	Gene	Gene
ncbigene:3569	ncbigene:2885	interacts	Gene	Gene
ncbigene:3569	ncbigene:5604	interacts	Gene	Gene
ncbigene:3569	ncbigene:6464	interacts	Gene	Gene
ncbigene:3569	ncbigene:6654	interacts	Gene	Gene
ncbigene:3569	GO:0043065	participates	Gene	Biological Process
ncbigene:3576	GO:0007165	participates	Gene	Biological Process
ncbigene:3592	ncbigene:3586	interacts	Gene	Gene
ncbigene:3592	ncbigene:3717	interacts	Gene	Gene
ncbigene:3592	ncbigene:6775	interacts	Gene	Gene
ncbigene:3592	ncbigene:3565	interacts	Gene	Gene
ncbigene:3592	ncbigene:3596	interacts	Gene	Gene
ncbigene:3592	ncbigene:3593	interacts	Gene	Gene
ncbigene:3593	ncbigene:3586	interacts	Gene	Gene
ncbigene:3593	ncbigene:3565	interacts	Gene	Gene
ncbigene:3593	ncbigene:3596	interacts	Gene	Gene
ncbigene:3593	ncbigene:6775	interacts	Gene	Gene
ncbigene:3606	ncbigene:3586	interacts	Gene	Gene
ncbigene:3606	ncbigene:27178	interacts	Gene	Gene
ncbigene:3606	ncbigene:3565	interacts	Gene	Gene
ncbigene:3606	ncbigene:3596	interacts	Gene	Gene
ncbigene:3606	GO:0007267	participates	Gene	Biological Process
ncbigene:3606	GO:0008283	participates	Gene	Biological Process
ncbigene:3627	ncbigene:3586	interacts	Gene	Gene
ncbigene:3627	GO:0007165	participates	Gene	Biological Process
ncbigene:3627	GO:0007267	participates	Gene	Biological Process
ncbigene:388372	ncbigene:3586	interacts	Gene	Gene
ncbigene:388372	ncbigene:3265	interacts	Gene	Gene
ncbigene:3976	ncbigene:3586	interacts	Gene	Gene
ncbigene:3976	ncbigene:2885	interacts	Gene	Gene
ncbigene:3976	ncbigene:6464	interacts	Gene	Gene
ncbigene:3976	ncbigene:6654	interacts	Gene	Gene
ncbigene:414062	ncbigene:3586	interacts	Gene	Gene
ncbigene:6347	ncbigene:3586	interacts	Gene	Gene
ncbigene:6347	ncbigene:3565	interacts	Gene	Gene
ncbigene:6347	ncbigene:3596	interacts	Gene	Gene
ncbigene:6347	GO:0007010	participates	Gene	Biological Process
ncbigene:6347	GO:0007155	participates	Gene	Biological Process
ncbigene:6347	GO:0007165	participates	Gene	Biological Process
ncbigene:6348	ncbigene:3586	interacts	Gene	Gene
ncbigene:6348	GO:0007010	participates	Gene	Biological Process
ncbigene:6348	GO:0007267	participates	Gene	Biological Process
ncbigene:6349	ncbigene:3586	interacts	Gene	Gene
ncbigene:6351	ncbigene:3586	interacts	Gene	Gene
ncbigene:6351	ncbigene:3265	interacts	Gene	Gene
ncbigene:6351	GO:0007155	participates	Gene	Biological Process
ncbigene:6351	GO:0007165	participates	Gene	Biological Process
ncbigene:6351	GO:0007267	participates	Gene	Biological Process
ncbigene:6352	ncbigene:3586	interacts	Gene	Gene
ncbigene:6352	GO:0007267	participates	Gene	Biological Process
ncbigene:6363	ncbigene:3586	interacts	Gene	Gene
ncbigene:6364	ncbigene:3586	interacts	Gene	Gene
ncbigene:6364	GO:0007165	participates	Gene	Biological Process
ncbigene:6364	GO:0007267	participates	Gene	Biological Process
ncbigene:6367	ncbigene:3586	interacts	Gene	Gene
ncbigene:6367	GO:0007165	participates	Gene	Biological Process
ncbigene:6367	GO:0007267	participates	Gene	Biological Process
ncbigene:7124	ncbigene:7128	interacts	Gene	Gene
ncbigene:7124	ncbigene:7375	interacts	Gene	Gene
ncbigene:7124	GO:0030198	participates	Gene	Biological Process
ncbigene:7124	GO:0043065	participates	Gene	Biological Process
ncbigene:7850	ncbigene:3586	interacts	Gene	Gene
ncbigene:7850	GO:0016485	participates	Gene	Biological Process
ncbigene:941	ncbigene:3586	interacts	Gene	Gene
ncbigene:941	ncbigene:2885	interacts	Gene	Gene
