source	target	relation
PUBCHEM.COMPOUND:1	NCBIGENE:3162	1
PUBCHEM.COMPOUND:1	NCBIGENE:3308	1
PUBCHEM.COMPOUND:1	NCBIGENE:4804	1
PUBCHEM.COMPOUND:1	NCBIGENE:1020	-1
PUBCHEM.COMPOUND:1	NCBIGENE:54205	-1
PUBCHEM.COMPOUND:10000456	NCBIGENE:6347	-1
PUBCHEM.COMPOUND:10000638	NCBIGENE:4986	1
PUBCHEM.COMPOUND:100016	NCBIGENE:1786	-1
PUBCHEM.COMPOUND:100016	NCBIGENE:4204	-1
PUBCHEM.COMPOUND:100017	NCBIGENE:836	1
PUBCHEM.COMPOUND:100017	NCBIGENE:7157	-1
PUBCHEM.COMPOUND:100022	NCBIGENE:136	1
PUBCHEM.COMPOUND:10013505	NCBIGENE:1128	1
PUBCHEM.COMPOUND:10014835	NCBIGENE:8562	1
PUBCHEM.COMPOUND:10014835	NCBIGENE:3586	-1
PUBCHEM.COMPOUND:10014835	NCBIGENE:8562	-1
PUBCHEM.COMPOUND:100150	NCBIGENE:1719	-1
PUBCHEM.COMPOUND:10016910	NCBIGENE:1111	-1
PUBCHEM.COMPOUND:100187	NCBIGENE:5726	1
PUBCHEM.COMPOUND:10019350	NCBIGENE:3586	1
PUBCHEM.COMPOUND:10019350	NCBIGENE:3600	-1
PUBCHEM.COMPOUND:10020713	NCBIGENE:2931	-1
PUBCHEM.COMPOUND:10020713	NCBIGENE:2932	-1
PUBCHEM.COMPOUND:10020713	NCBIGENE:415116	-1
PUBCHEM.COMPOUND:10022508	NCBIGENE:7157	1
PUBCHEM.COMPOUND:100252	NCBIGENE:3614	-1
PUBCHEM.COMPOUND:10026	NCBIGENE:4881	1
PUBCHEM.COMPOUND:10026300	NCBIGENE:1813	-1
PUBCHEM.COMPOUND:10026300	NCBIGENE:1816	-1
PUBCHEM.COMPOUND:10027278	NCBIGENE:4904	-1
PUBCHEM.COMPOUND:10027278	NCBIGENE:6790	-1
PUBCHEM.COMPOUND:10028772	NCBIGENE:3614	-1
PUBCHEM.COMPOUND:1003	NCBIGENE:112802	1
PUBCHEM.COMPOUND:1003	NCBIGENE:121391	1
PUBCHEM.COMPOUND:1003	NCBIGENE:1983	1
PUBCHEM.COMPOUND:1003	NCBIGENE:23141	1
PUBCHEM.COMPOUND:1003	NCBIGENE:388531	1
PUBCHEM.COMPOUND:1003	NCBIGENE:57148	1
PUBCHEM.COMPOUND:1003	NCBIGENE:57186	1
PUBCHEM.COMPOUND:1003	NCBIGENE:595	1
PUBCHEM.COMPOUND:1003	NCBIGENE:836	1
PUBCHEM.COMPOUND:1003	NCBIGENE:9365	1
PUBCHEM.COMPOUND:1003	NCBIGENE:5631	1
PUBCHEM.COMPOUND:1003	NCBIGENE:10423	-1
PUBCHEM.COMPOUND:1003	NCBIGENE:22978	-1
PUBCHEM.COMPOUND:1003	NCBIGENE:2588	-1
PUBCHEM.COMPOUND:1003	NCBIGENE:3612	-1
PUBCHEM.COMPOUND:1003	NCBIGENE:3250	-1
PUBCHEM.COMPOUND:10044792	NCBIGENE:2645	1
PUBCHEM.COMPOUND:100492	NCBIGENE:245972	-1
PUBCHEM.COMPOUND:100516	NCBIGENE:1719	-1
PUBCHEM.COMPOUND:100526	NCBIGENE:7054	-1
PUBCHEM.COMPOUND:100526	NCBIGENE:9407	-1
PUBCHEM.COMPOUND:100528	NCBIGENE:595	-1
PUBCHEM.COMPOUND:10057607	NCBIGENE:836	-1
PUBCHEM.COMPOUND:10061827	NCBIGENE:5743	-1
PUBCHEM.COMPOUND:10061827	NCBIGENE:983	-1
PUBCHEM.COMPOUND:10066979	NCBIGENE:4843	-1
PUBCHEM.COMPOUND:100684	NCBIGENE:3251	-1
PUBCHEM.COMPOUND:10069117	NCBIGENE:2056	1
PUBCHEM.COMPOUND:10069117	NCBIGENE:5467	1
PUBCHEM.COMPOUND:10071166	NCBIGENE:3776	1
PUBCHEM.COMPOUND:10074640	NCBIGENE:3815	1
PUBCHEM.COMPOUND:10074640	NCBIGENE:1436	-1
PUBCHEM.COMPOUND:10074640	NCBIGENE:3932	-1
PUBCHEM.COMPOUND:10074640	NCBIGENE:4067	-1
PUBCHEM.COMPOUND:10074640	NCBIGENE:5156	-1
PUBCHEM.COMPOUND:10074640	NCBIGENE:5159	-1
PUBCHEM.COMPOUND:10077129	NCBIGENE:2149	-1
PUBCHEM.COMPOUND:10078572	NCBIGENE:954	-1
PUBCHEM.COMPOUND:10082188	NCBIGENE:836	1
PUBCHEM.COMPOUND:10082188	NCBIGENE:4318	-1
PUBCHEM.COMPOUND:10089677	NCBIGENE:4313	-1
PUBCHEM.COMPOUND:10090485	NCBIGENE:4089	1
PUBCHEM.COMPOUND:10090750	NCBIGENE:3757	-1
PUBCHEM.COMPOUND:10093303	NCBIGENE:3576	-1
PUBCHEM.COMPOUND:10093303	NCBIGENE:4012	-1
PUBCHEM.COMPOUND:10093303	NCBIGENE:7075	-1
PUBCHEM.COMPOUND:10096043	NCBIGENE:3320	-1
PUBCHEM.COMPOUND:10096043	NCBIGENE:367	-1
PUBCHEM.COMPOUND:10096043	NCBIGENE:3815	-1
PUBCHEM.COMPOUND:10096043	NCBIGENE:83942	-1
PUBCHEM.COMPOUND:10096344	NCBIGENE:2641	1
PUBCHEM.COMPOUND:10096344	NCBIGENE:1803	-1
PUBCHEM.COMPOUND:10098	NCBIGENE:6608	1
PUBCHEM.COMPOUND:101	NCBIGENE:7915	-1
PUBCHEM.COMPOUND:10100	NCBIGENE:4985	1
PUBCHEM.COMPOUND:10100	NCBIGENE:4986	1
PUBCHEM.COMPOUND:10100	NCBIGENE:4988	1
PUBCHEM.COMPOUND:10100	NCBIGENE:4985	1
PUBCHEM.COMPOUND:10100	NCBIGENE:4988	1
PUBCHEM.COMPOUND:10100	NCBIGENE:4986	-1
PUBCHEM.COMPOUND:10101	NCBIGENE:4985	1
PUBCHEM.COMPOUND:10101	NCBIGENE:4986	1
PUBCHEM.COMPOUND:10101	NCBIGENE:4988	1
PUBCHEM.COMPOUND:10101	NCBIGENE:2902	-1
PUBCHEM.COMPOUND:10106	NCBIGENE:8989	1
PUBCHEM.COMPOUND:1011240	NCBIGENE:468	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:10019	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:1003	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:11183	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:1436	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:2261	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:2321	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:2324	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:3702	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:3791	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:3815	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:4293	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:4294	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:4296	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:5156	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:5159	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:54578	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:54658	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:57551	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:5894	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:5979	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:6098	-1
PUBCHEM.COMPOUND:10113978	NCBIGENE:9344	-1
PUBCHEM.COMPOUND:10114	NCBIGENE:290	-1
PUBCHEM.COMPOUND:10114	NCBIGENE:3291	-1
PUBCHEM.COMPOUND:10114	NCBIGENE:3383	-1
PUBCHEM.COMPOUND:10114	NCBIGENE:4843	-1
PUBCHEM.COMPOUND:10126019	NCBIGENE:7852	-1
PUBCHEM.COMPOUND:10126189	NCBIGENE:1956	1
PUBCHEM.COMPOUND:10126189	NCBIGENE:836	1
PUBCHEM.COMPOUND:10126189	NCBIGENE:8793	1
PUBCHEM.COMPOUND:10126189	NCBIGENE:8795	1
PUBCHEM.COMPOUND:10126189	NCBIGENE:8797	1
PUBCHEM.COMPOUND:10126189	NCBIGENE:4170	-1
PUBCHEM.COMPOUND:10126189	NCBIGENE:9451	-1
PUBCHEM.COMPOUND:10127622	NCBIGENE:10018	1
PUBCHEM.COMPOUND:10127622	NCBIGENE:6774	1
PUBCHEM.COMPOUND:10127622	NCBIGENE:9451	-1
PUBCHEM.COMPOUND:10130510	NCBIGENE:1803	-1
PUBCHEM.COMPOUND:10130754	NCBIGENE:2346	-1
PUBCHEM.COMPOUND:10131048	NCBIGENE:1137	1
PUBCHEM.COMPOUND:10133	NCBIGENE:10257	1
PUBCHEM.COMPOUND:10133	NCBIGENE:1044	1
PUBCHEM.COMPOUND:10133	NCBIGENE:1045	1
PUBCHEM.COMPOUND:10133	NCBIGENE:1071	1
PUBCHEM.COMPOUND:10133	NCBIGENE:10763	1
PUBCHEM.COMPOUND:10133	NCBIGENE:1080	1
PUBCHEM.COMPOUND:10133	NCBIGENE:1154	1
PUBCHEM.COMPOUND:10133	NCBIGENE:1576	1
PUBCHEM.COMPOUND:10133	NCBIGENE:2172	1
PUBCHEM.COMPOUND:10133	NCBIGENE:3586	1
PUBCHEM.COMPOUND:10133	NCBIGENE:3827	1
PUBCHEM.COMPOUND:10133	NCBIGENE:5244	1
PUBCHEM.COMPOUND:10133	NCBIGENE:5578	1
PUBCHEM.COMPOUND:10133	NCBIGENE:5582	1
PUBCHEM.COMPOUND:10133	NCBIGENE:5743	1
PUBCHEM.COMPOUND:10133	NCBIGENE:836	1
PUBCHEM.COMPOUND:10133	NCBIGENE:842	1
PUBCHEM.COMPOUND:10133	NCBIGENE:8431	1
PUBCHEM.COMPOUND:10133	NCBIGENE:8647	1
PUBCHEM.COMPOUND:10133	NCBIGENE:9971	1
PUBCHEM.COMPOUND:10133	NCBIGENE:1581	-1
PUBCHEM.COMPOUND:10133	NCBIGENE:183	-1
PUBCHEM.COMPOUND:10133	NCBIGENE:3172	-1
PUBCHEM.COMPOUND:10133	NCBIGENE:3558	-1
PUBCHEM.COMPOUND:10133	NCBIGENE:949	-1
PUBCHEM.COMPOUND:1013376	NCBIGENE:22933	-1
PUBCHEM.COMPOUND:10138259	NCBIGENE:3791	-1
PUBCHEM.COMPOUND:1014	NCBIGENE:1119	1
PUBCHEM.COMPOUND:1014	NCBIGENE:5130	1
PUBCHEM.COMPOUND:1014	NCBIGENE:1401	-1
PUBCHEM.COMPOUND:10140	NCBIGENE:4953	1
PUBCHEM.COMPOUND:10141	NCBIGENE:7296	-1
PUBCHEM.COMPOUND:10142586	NCBIGENE:472	-1
PUBCHEM.COMPOUND:10143056	NCBIGENE:5469	1
PUBCHEM.COMPOUND:10144	NCBIGENE:7157	1
PUBCHEM.COMPOUND:10144	NCBIGENE:1131	-1
PUBCHEM.COMPOUND:10146	NCBIGENE:1544	-1
PUBCHEM.COMPOUND:1015	NCBIGENE:5579	-1
PUBCHEM.COMPOUND:101526	NCBIGENE:4312	-1
PUBCHEM.COMPOUND:101526	NCBIGENE:4314	-1
PUBCHEM.COMPOUND:101526	NCBIGENE:6581	-1
PUBCHEM.COMPOUND:101526	NCBIGENE:7153	-1
