source	target	edge_type	source_node_type	target_node_type
pubchem.compound:5280360	ncbigene:5972	upregulates	Compound	Gene
pubchem.compound:33741	ncbigene:2906	downregulates	Compound	Gene
ncbigene:84282	ncbigene:79671	interacts	Gene	Gene
ncbigene:3326	GO:0050821	participates	Gene	Biological Process
ncbigene:5163	GO:0008283	participates	Gene	Biological Process
pubchem.compound:68844	ncbigene:759	downregulates	Compound	Gene
ncbigene:7405	GO:0007059	participates	Gene	Biological Process
ncbigene:1141	GO:0050877	participates	Gene	Biological Process
ncbigene:10332	ncbigene:7042	interacts	Gene	Gene
ncbigene:8906	GO:0016192	participates	Gene	Biological Process
ncbigene:6844	ncbigene:79058	interacts	Gene	Gene
ncbigene:23112	ncbigene:55170	interacts	Gene	Gene
ncbigene:129401	GO:0006913	participates	Gene	Biological Process
ncbigene:8714	ncbigene:1969	interacts	Gene	Gene
ncbigene:5119	GO:0006914	participates	Gene	Biological Process
ncbigene:6659	GO:0050821	participates	Gene	Biological Process
ncbigene:9768	ncbigene:5424	interacts	Gene	Gene
ncbigene:8546	ncbigene:369	interacts	Gene	Gene
ncbigene:2867	ncbigene:2773	interacts	Gene	Gene
ncbigene:441608	ncbigene:2788	interacts	Gene	Gene
pubchem.compound:60854	ncbigene:1133	downregulates	Compound	Gene
ncbigene:55294	ncbigene:6742	interacts	Gene	Gene
ncbigene:119682	ncbigene:51764	interacts	Gene	Gene
ncbigene:6900	GO:0007155	participates	Gene	Biological Process
ncbigene:4882	GO:0051276	participates	Gene	Biological Process
ncbigene:5912	ncbigene:51196	interacts	Gene	Gene
ncbigene:1998	GO:0030154	participates	Gene	Biological Process
ncbigene:8718	ncbigene:836	interacts	Gene	Gene
pubchem.compound:444795	ncbigene:5054	downregulates	Compound	Gene
ncbigene:5525	GO:0007165	participates	Gene	Biological Process
ncbigene:79317	ncbigene:51764	interacts	Gene	Gene
ncbigene:8200	ncbigene:269	interacts	Gene	Gene
ncbigene:293	ncbigene:5581	interacts	Gene	Gene
ncbigene:58476	ncbigene:23710	interacts	Gene	Gene
pubchem.compound:1548943	ncbigene:9407	upregulates	Compound	Gene
ncbigene:90865	ncbigene:3553	interacts	Gene	Gene
pubchem.compound:702	ncbigene:2822	upregulates	Compound	Gene
ncbigene:81327	ncbigene:51764	interacts	Gene	Gene
ncbigene:6548	ncbigene:7429	interacts	Gene	Gene
ncbigene:55072	ncbigene:7375	interacts	Gene	Gene
ncbigene:9177	GO:0050877	participates	Gene	Biological Process
ncbigene:5439	ncbigene:7073	interacts	Gene	Gene
pubchem.compound:3168	ncbigene:148	downregulates	Compound	Gene
pubchem.compound:448537	ncbigene:6776	upregulates	Compound	Gene
pubchem.compound:4775	ncbigene:1284	downregulates	Compound	Gene
pubchem.compound:2132	ncbigene:6622	downregulates	Compound	Gene
ncbigene:7533	GO:0007165	participates	Gene	Biological Process
pubchem.compound:6167	ncbigene:1555	downregulates	Compound	Gene
ncbigene:3914	ncbigene:9899	interacts	Gene	Gene
ncbigene:5901	GO:0051301	participates	Gene	Biological Process
ncbigene:26168	ncbigene:6176	interacts	Gene	Gene
ncbigene:3443	ncbigene:53833	interacts	Gene	Gene
ncbigene:2775	ncbigene:123745	interacts	Gene	Gene
ncbigene:5145	GO:0007165	participates	Gene	Biological Process
pubchem.compound:36314	ncbigene:6590	upregulates	Compound	Gene
ncbigene:50616	ncbigene:53833	interacts	Gene	Gene
ncbigene:293	ncbigene:5728	interacts	Gene	Gene
pubchem.compound:3038	ncbigene:766	downregulates	Compound	Gene
ncbigene:2323	ncbigene:5156	interacts	Gene	Gene
ncbigene:9412	ncbigene:2167	interacts	Gene	Gene
pubchem.compound:5280453	ncbigene:466	upregulates	Compound	Gene
ncbigene:79054	ncbigene:5500	interacts	Gene	Gene
ncbigene:5289	GO:0051301	participates	Gene	Biological Process
ncbigene:7050	ncbigene:1142	interacts	Gene	Gene
ncbigene:2194	ncbigene:238	interacts	Gene	Gene
ncbigene:26234	ncbigene:26224	interacts	Gene	Gene
ncbigene:256076	ncbigene:3680	interacts	Gene	Gene
ncbigene:55233	ncbigene:6788	interacts	Gene	Gene
ncbigene:54461	ncbigene:51397	interacts	Gene	Gene
ncbigene:8643	ncbigene:5727	interacts	Gene	Gene
ncbigene:9412	ncbigene:5346	interacts	Gene	Gene
pubchem.compound:4507	ncbigene:783	downregulates	Compound	Gene
pubchem.compound:6013	ncbigene:2253	upregulates	Compound	Gene
ncbigene:8732	ncbigene:7249	interacts	Gene	Gene
ncbigene:1235	ncbigene:3718	interacts	Gene	Gene
ncbigene:9748	ncbigene:5347	interacts	Gene	Gene
ncbigene:5256	ncbigene:79660	interacts	Gene	Gene
pubchem.compound:6167	GO:0006913	induces	Compound	Biological Process
ncbigene:2177	ncbigene:472	interacts	Gene	Gene
ncbigene:163702	ncbigene:6775	interacts	Gene	Gene
pubchem.compound:6013	ncbigene:2353	upregulates	Compound	Gene
ncbigene:2057	GO:0007165	participates	Gene	Biological Process
