source	target	edge_type	source_node_type	target_node_type
pubchem.compound:4485	GO:0008283	induces	Compound	Biological Process
pubchem.compound:2471	GO:0007165	induces	Compound	Biological Process
pubchem.compound:3547	GO:0007165	induces	Compound	Biological Process
pubchem.compound:31703	GO:0008283	induces	Compound	Biological Process
pubchem.compound:3715	GO:0009790	induces	Compound	Biological Process
pubchem.compound:444795	GO:0043065	induces	Compound	Biological Process
pubchem.compound:3715	GO:0007165	induces	Compound	Biological Process
pubchem.compound:4748	GO:0006805	induces	Compound	Biological Process
pubchem.compound:10607	GO:0051301	induces	Compound	Biological Process
pubchem.compound:57363	GO:0030154	induces	Compound	Biological Process
pubchem.compound:5593	GO:0007165	induces	Compound	Biological Process
pubchem.compound:448537	GO:0002376	induces	Compound	Biological Process
pubchem.compound:5833	GO:0008283	induces	Compound	Biological Process
pubchem.compound:4477	GO:0008283	induces	Compound	Biological Process
pubchem.compound:3343	GO:0030154	induces	Compound	Biological Process
pubchem.compound:6167	GO:0051301	induces	Compound	Biological Process
pubchem.compound:5917	GO:0007267	induces	Compound	Biological Process
pubchem.compound:5280723	GO:0007165	induces	Compound	Biological Process
pubchem.compound:6918638	GO:0032880	induces	Compound	Biological Process
pubchem.compound:5564	GO:0007267	induces	Compound	Biological Process
pubchem.compound:5280360	GO:0007165	induces	Compound	Biological Process
pubchem.compound:55245	GO:0000902	induces	Compound	Biological Process
pubchem.compound:444795	GO:0043085	induces	Compound	Biological Process
pubchem.compound:3671	GO:0006629	induces	Compound	Biological Process
pubchem.compound:31703	GO:0051301	induces	Compound	Biological Process
pubchem.compound:445354	GO:0006629	induces	Compound	Biological Process
pubchem.compound:60854	GO:0006913	induces	Compound	Biological Process
pubchem.compound:3343	GO:0007165	induces	Compound	Biological Process
pubchem.compound:54687	GO:0007267	induces	Compound	Biological Process
pubchem.compound:6918638	GO:0030154	induces	Compound	Biological Process
pubchem.compound:1548887	GO:0007049	induces	Compound	Biological Process
pubchem.compound:3715	GO:0007267	induces	Compound	Biological Process
pubchem.compound:60854	GO:0050877	induces	Compound	Biological Process
pubchem.compound:12035	GO:0030154	induces	Compound	Biological Process
pubchem.compound:37542	GO:0007010	induces	Compound	Biological Process
pubchem.compound:31703	GO:0050877	induces	Compound	Biological Process
pubchem.compound:5284616	GO:0055085	induces	Compound	Biological Process
pubchem.compound:4158	GO:0007267	induces	Compound	Biological Process
pubchem.compound:4011	GO:0006913	induces	Compound	Biological Process
pubchem.compound:57363	GO:0007267	induces	Compound	Biological Process
pubchem.compound:38853	GO:0006520	induces	Compound	Biological Process
pubchem.compound:44462760	GO:0030154	induces	Compound	Biological Process
pubchem.compound:5280453	GO:0043065	induces	Compound	Biological Process
pubchem.compound:444795	GO:0007010	induces	Compound	Biological Process
pubchem.compound:448537	GO:0043085	induces	Compound	Biological Process
pubchem.compound:5833	GO:0000902	induces	Compound	Biological Process
pubchem.compound:444795	GO:0050821	induces	Compound	Biological Process
pubchem.compound:60854	GO:0008219	induces	Compound	Biological Process
pubchem.compound:4748	GO:0008283	induces	Compound	Biological Process
pubchem.compound:6230	GO:0007165	induces	Compound	Biological Process
pubchem.compound:456201	GO:0006805	induces	Compound	Biological Process
pubchem.compound:5983	GO:0006805	induces	Compound	Biological Process
pubchem.compound:4748	GO:0070989	induces	Compound	Biological Process
pubchem.compound:6167	GO:0006913	induces	Compound	Biological Process
pubchem.compound:3463	GO:0007165	induces	Compound	Biological Process
pubchem.compound:5472	GO:0006805	induces	Compound	Biological Process
pubchem.compound:10607	GO:0007059	induces	Compound	Biological Process
pubchem.compound:1548943	GO:0006629	induces	Compound	Biological Process
pubchem.compound:9444	GO:0007165	induces	Compound	Biological Process
pubchem.compound:448537	GO:0006805	induces	Compound	Biological Process
pubchem.compound:5833	GO:0032880	induces	Compound	Biological Process
pubchem.compound:5639	GO:0007267	induces	Compound	Biological Process
pubchem.compound:55245	GO:0051301	induces	Compound	Biological Process
pubchem.compound:444795	GO:0007049	induces	Compound	Biological Process
pubchem.compound:3715	GO:0032880	induces	Compound	Biological Process
pubchem.compound:3117	GO:0030154	induces	Compound	Biological Process
pubchem.compound:3033	GO:0043065	induces	Compound	Biological Process
pubchem.compound:3961	GO:0007165	induces	Compound	Biological Process
pubchem.compound:4197	GO:0007165	induces	Compound	Biological Process
pubchem.compound:6215	GO:0007165	induces	Compound	Biological Process
pubchem.compound:6167	GO:0007155	induces	Compound	Biological Process
pubchem.compound:4171	GO:0007165	induces	Compound	Biological Process
pubchem.compound:33741	GO:0050877	induces	Compound	Biological Process
pubchem.compound:2375	GO:0007267	induces	Compound	Biological Process
pubchem.compound:2554	GO:0007267	induces	Compound	Biological Process
pubchem.compound:5284616	GO:0006914	induces	Compound	Biological Process
pubchem.compound:10635	GO:0006629	induces	Compound	Biological Process
pubchem.compound:55245	GO:0043065	induces	Compound	Biological Process
pubchem.compound:5717	GO:0007165	induces	Compound	Biological Process
pubchem.compound:5280360	GO:0008219	induces	Compound	Biological Process
pubchem.compound:5280453	GO:0030154	induces	Compound	Biological Process
pubchem.compound:4775	GO:0002376	induces	Compound	Biological Process
pubchem.compound:6167	GO:0032880	induces	Compound	Biological Process
pubchem.compound:2955	GO:0070989	induces	Compound	Biological Process
