source	source_node_type	target	target_node_type	edge_type
pubchem.compound:10607	Compound	ncbigene:3553	Cytokine	upregulates
pubchem.compound:10607	Compound	ncbigene:7153	Isomerase	downregulates
pubchem.compound:10607	Compound	ncbigene:7277	Hydrolase	downregulates
pubchem.compound:10635	Compound	ncbigene:10257	Translocase	upregulates
pubchem.compound:10635	Compound	ncbigene:354	Hydrolase	upregulates
pubchem.compound:10635	Compound	ncbigene:3757	Ion channel	upregulates
pubchem.compound:10635	Compound	ncbigene:7276	Hormone	upregulates
pubchem.compound:10635	Compound	ncbigene:775	Ion channel	upregulates
pubchem.compound:10635	Compound	ncbigene:7224	Ion channel	downregulates
pubchem.compound:107807	Compound	ncbigene:3827	Protease inhibitor	downregulates
pubchem.compound:107807	Compound	ncbigene:1636	Hydrolase	downregulates
pubchem.compound:107807	Compound	ncbigene:5054	Protease inhibitor	downregulates
pubchem.compound:107807	Compound	ncbigene:9407	Hydrolase	downregulates
pubchem.compound:11625818	Compound	ncbigene:7124	Cytokine	upregulates
pubchem.compound:11625818	Compound	ncbigene:4170	Developmental protein	downregulates
pubchem.compound:11625818	Compound	ncbigene:959	Cytokine	downregulates
pubchem.compound:11683	Compound	ncbigene:5617	Hormone	downregulates
pubchem.compound:12035	Compound	ncbigene:116443	Ion channel	upregulates
pubchem.compound:12035	Compound	ncbigene:2056	Hormone	upregulates
pubchem.compound:12035	Compound	ncbigene:2902	Ion channel	upregulates
pubchem.compound:12035	Compound	ncbigene:2906	Ion channel	upregulates
pubchem.compound:12035	Compound	ncbigene:3309	Chaperone	upregulates
pubchem.compound:12035	Compound	ncbigene:3458	Cytokine	upregulates
pubchem.compound:12035	Compound	ncbigene:4363	Translocase	upregulates
pubchem.compound:12035	Compound	ncbigene:10105	Isomerase	downregulates
pubchem.compound:12035	Compound	ncbigene:1509	Hydrolase	downregulates
pubchem.compound:12035	Compound	ncbigene:1636	Hydrolase	downregulates
pubchem.compound:12035	Compound	ncbigene:2263	Heparin-binding	downregulates
pubchem.compound:12035	Compound	ncbigene:3576	Cytokine	downregulates
pubchem.compound:12035	Compound	ncbigene:6610	Hydrolase	downregulates
pubchem.compound:12560	Compound	ncbigene:4295	Hormone	upregulates
pubchem.compound:12560	Compound	ncbigene:3605	Cytokine	downregulates
pubchem.compound:12560	Compound	ncbigene:3741	Ion channel	downregulates
pubchem.compound:12560	Compound	ncbigene:3757	Ion channel	downregulates
pubchem.compound:12560	Compound	ncbigene:90226	Hormone	downregulates
pubchem.compound:126941	Compound	ncbigene:1803	Hydrolase	upregulates
pubchem.compound:126941	Compound	ncbigene:3565	Cytokine	upregulates
pubchem.compound:126941	Compound	ncbigene:3586	Cytokine	upregulates
pubchem.compound:126941	Compound	ncbigene:4286	Developmental protein	upregulates
pubchem.compound:126941	Compound	ncbigene:471	Hydrolase	upregulates
pubchem.compound:126941	Compound	ncbigene:64146	Hydrolase	downregulates
pubchem.compound:126941	Compound	ncbigene:6868	Hydrolase	downregulates
pubchem.compound:13109	Compound	ncbigene:1244	Translocase	downregulates
pubchem.compound:145068	Compound	ncbigene:1956	Developmental protein	upregulates
pubchem.compound:145068	Compound	ncbigene:2155	Hydrolase	upregulates
pubchem.compound:145068	Compound	ncbigene:2290	Developmental protein	upregulates
pubchem.compound:145068	Compound	ncbigene:3553	Cytokine	downregulates
pubchem.compound:145068	Compound	ncbigene:3576	Cytokine	downregulates
pubchem.compound:145068	Compound	ncbigene:4312	Hydrolase	upregulates
pubchem.compound:145068	Compound	ncbigene:4313	Hydrolase	downregulates
pubchem.compound:145068	Compound	ncbigene:4322	Hydrolase	upregulates
pubchem.compound:145068	Compound	ncbigene:7076	Protease inhibitor	upregulates
pubchem.compound:145068	Compound	ncbigene:7124	Cytokine	upregulates
pubchem.compound:145068	Compound	ncbigene:7432	Hormone	upregulates
pubchem.compound:145068	Compound	ncbigene:836	Hydrolase	upregulates
pubchem.compound:145068	Compound	ncbigene:89822	Ion channel	upregulates
pubchem.compound:145068	Compound	ncbigene:1392	Hormone	downregulates
pubchem.compound:145068	Compound	ncbigene:1490	Heparin-binding	downregulates
pubchem.compound:145068	Compound	ncbigene:3592	Cytokine	downregulates
