source	source_node_type	target	target_node_type	edge_type
ncbigene:5602	Gene	GO:0007165	Biological Process	participates
ncbigene:5602	Gene	ncbigene:1847	Gene	interacts
ncbigene:5602	Gene	ncbigene:1822	Gene	interacts
ncbigene:3798	Gene	ncbigene:5602	Gene	interacts
ncbigene:3798	Gene	GO:0016192	Biological Process	participates
ncbigene:3798	Gene	ncbigene:5599	Gene	interacts
ncbigene:2495	Gene	ncbigene:5599	Gene	interacts
ncbigene:2495	Gene	ncbigene:5602	Gene	interacts
ncbigene:57630	Gene	ncbigene:5602	Gene	interacts
ncbigene:2512	Gene	ncbigene:5602	Gene	interacts
ncbigene:2512	Gene	ncbigene:5601	Gene	interacts
ncbigene:89953	Gene	ncbigene:5602	Gene	interacts
ncbigene:89953	Gene	ncbigene:23207	Gene	interacts
ncbigene:3800	Gene	ncbigene:5601	Gene	interacts
ncbigene:3800	Gene	ncbigene:5602	Gene	interacts
ncbigene:5609	Gene	GO:0007165	Biological Process	participates
ncbigene:5609	Gene	ncbigene:5600	Gene	interacts
ncbigene:5609	Gene	ncbigene:5602	Gene	interacts
ncbigene:9468	Gene	ncbigene:5599	Gene	interacts
ncbigene:9468	Gene	ncbigene:5602	Gene	interacts
ncbigene:89832	Gene	ncbigene:778	Gene	interacts
ncbigene:89832	Gene	GO:0050877	Biological Process	participates
ncbigene:89832	Gene	GO:0007165	Biological Process	participates
ncbigene:89832	Gene	ncbigene:776	Gene	interacts
ncbigene:89832	Gene	ncbigene:5602	Gene	interacts
ncbigene:2889	Gene	GO:0007165	Biological Process	participates
ncbigene:2889	Gene	ncbigene:4043	Gene	interacts
ncbigene:2889	Gene	ncbigene:5602	Gene	interacts
ncbigene:6610	Gene	ncbigene:4790	Gene	interacts
ncbigene:6610	Gene	ncbigene:5602	Gene	interacts
ncbigene:5899	Gene	GO:0051301	Biological Process	participates
ncbigene:5899	Gene	GO:0007165	Biological Process	participates
ncbigene:5899	Gene	ncbigene:55770	Gene	interacts
ncbigene:5899	Gene	GO:0007049	Biological Process	participates
ncbigene:5899	Gene	ncbigene:5602	Gene	interacts
ncbigene:8767	Gene	GO:0007165	Biological Process	participates
ncbigene:8767	Gene	GO:0043065	Biological Process	participates
ncbigene:8767	Gene	ncbigene:5602	Gene	interacts
ncbigene:8767	Gene	ncbigene:5600	Gene	interacts
ncbigene:5130	Gene	ncbigene:5599	Gene	interacts
ncbigene:5130	Gene	ncbigene:5602	Gene	interacts
ncbigene:3799	Gene	ncbigene:1000	Gene	interacts
ncbigene:3799	Gene	ncbigene:5602	Gene	interacts
ncbigene:2354	Gene	ncbigene:54	Gene	interacts
ncbigene:2354	Gene	ncbigene:799	Gene	interacts
pubchem.compound:3559	Compound	ncbigene:5617	Gene	upregulates
pubchem.compound:3559	Compound	ncbigene:2641	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:152	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:150	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:57142	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:1816	Gene	upregulates
pubchem.compound:3559	Compound	ncbigene:3553	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:3320	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:3363	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:1958	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:1133	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:1848	Gene	upregulates
pubchem.compound:3559	Compound	ncbigene:1813	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:147	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:5179	Gene	upregulates
pubchem.compound:3559	Compound	ncbigene:801	Gene	upregulates
pubchem.compound:3559	Compound	ncbigene:5108	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:7054	Gene	upregulates
pubchem.compound:3559	Compound	ncbigene:2354	Gene	upregulates
pubchem.compound:3559	Compound	ncbigene:3752	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:6863	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:5153	Gene	upregulates
pubchem.compound:3559	Compound	ncbigene:2904	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:3357	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:6285	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:808	Gene	upregulates
pubchem.compound:3559	Compound	ncbigene:148	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:1363	Gene	upregulates
pubchem.compound:3559	Compound	ncbigene:3269	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:3351	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:1814	Gene	downregulates
pubchem.compound:3559	Compound	ncbigene:9256	Gene	upregulates
