source	target	edge_type	source_node_type	target_node_type
ncbigene:2266	ncbigene:5624	interacts	Gene	Gene
ncbigene:85236	ncbigene:8331	interacts	Gene	Gene
pubchem.compound:10607	ncbigene:54658	downregulates	Compound	Gene
pubchem.compound:5280343	ncbigene:54205	upregulates	Compound	Gene
ncbigene:10370	ncbigene:4023	interacts	Gene	Gene
ncbigene:991	ncbigene:80152	interacts	Gene	Gene
ncbigene:5608	ncbigene:5037	interacts	Gene	Gene
pubchem.compound:2763	ncbigene:6822	upregulates	Compound	Gene
ncbigene:144699	ncbigene:54620	interacts	Gene	Gene
ncbigene:392390	GO:0007165	participates	Gene	Biological Process
ncbigene:6117	ncbigene:25898	interacts	Gene	Gene
ncbigene:149951	ncbigene:6923	interacts	Gene	Gene
ncbigene:4174	ncbigene:5558	interacts	Gene	Gene
ncbigene:335	ncbigene:345	interacts	Gene	Gene
ncbigene:56915	ncbigene:2091	interacts	Gene	Gene
ncbigene:3815	ncbigene:112476	interacts	Gene	Gene
ncbigene:835	GO:0043065	participates	Gene	Biological Process
ncbigene:7469	ncbigene:2177	interacts	Gene	Gene
ncbigene:5295	ncbigene:5770	interacts	Gene	Gene
ncbigene:6428	ncbigene:10772	interacts	Gene	Gene
ncbigene:857	ncbigene:6464	interacts	Gene	Gene
pubchem.compound:4235	ncbigene:1557	downregulates	Compound	Gene
ncbigene:156	ncbigene:1232	interacts	Gene	Gene
ncbigene:51135	ncbigene:4615	interacts	Gene	Gene
ncbigene:7088	ncbigene:51701	interacts	Gene	Gene
ncbigene:201456	ncbigene:144699	interacts	Gene	Gene
ncbigene:9021	ncbigene:10019	interacts	Gene	Gene
ncbigene:55908	GO:0007165	participates	Gene	Biological Process
ncbigene:6187	ncbigene:5822	interacts	Gene	Gene
pubchem.compound:33741	ncbigene:1128	downregulates	Compound	Gene
ncbigene:8717	ncbigene:5609	interacts	Gene	Gene
pubchem.compound:126941	ncbigene:64146	downregulates	Compound	Gene
ncbigene:10001	ncbigene:4023	interacts	Gene	Gene
ncbigene:3454	ncbigene:3444	interacts	Gene	Gene
ncbigene:9937	GO:0007049	participates	Gene	Biological Process
pubchem.compound:4184	GO:0061024	induces	Compound	Biological Process
ncbigene:1647	GO:0043065	participates	Gene	Biological Process
ncbigene:5663	ncbigene:2066	interacts	Gene	Gene
ncbigene:150684	ncbigene:114907	interacts	Gene	Gene
ncbigene:332	ncbigene:80152	interacts	Gene	Gene
ncbigene:8740	GO:0007165	participates	Gene	Biological Process
pubchem.compound:5073	ncbigene:147	downregulates	Compound	Gene
ncbigene:8325	ncbigene:1856	interacts	Gene	Gene
pubchem.compound:3396	GO:0048856	induces	Compound	Biological Process
ncbigene:7479	ncbigene:83999	interacts	Gene	Gene
ncbigene:8648	ncbigene:27063	interacts	Gene	Gene
ncbigene:6201	ncbigene:55272	interacts	Gene	Gene
pubchem.compound:1548943	ncbigene:3576	downregulates	Compound	Gene
ncbigene:80204	ncbigene:51397	interacts	Gene	Gene
ncbigene:5594	ncbigene:1845	interacts	Gene	Gene
ncbigene:7414	ncbigene:5295	interacts	Gene	Gene
ncbigene:6741	ncbigene:10623	interacts	Gene	Gene
ncbigene:2963	ncbigene:5434	interacts	Gene	Gene
ncbigene:88	GO:0007155	participates	Gene	Biological Process
ncbigene:6356	GO:0007165	participates	Gene	Biological Process
pubchem.compound:3825	ncbigene:5743	downregulates	Compound	Gene
ncbigene:3002	GO:0051604	participates	Gene	Biological Process
ncbigene:27154	ncbigene:208	interacts	Gene	Gene
ncbigene:6203	ncbigene:51202	interacts	Gene	Gene
ncbigene:1479	ncbigene:29894	interacts	Gene	Gene
pubchem.compound:3385	ncbigene:8795	upregulates	Compound	Gene
pubchem.compound:9829523	GO:0050877	induces	Compound	Biological Process
pubchem.compound:3715	ncbigene:2739	downregulates	Compound	Gene
ncbigene:4323	GO:0031638	participates	Gene	Biological Process
ncbigene:3479	ncbigene:999	interacts	Gene	Gene
ncbigene:1524	GO:0007267	participates	Gene	Biological Process
pubchem.compound:40839	ncbigene:81027	downregulates	Compound	Gene
pubchem.compound:24826799	GO:0008283	induces	Compound	Biological Process
ncbigene:6348	GO:0007267	participates	Gene	Biological Process
ncbigene:51308	ncbigene:81797	interacts	Gene	Gene
ncbigene:2488	ncbigene:3623	interacts	Gene	Gene
ncbigene:3667	ncbigene:5777	interacts	Gene	Gene
ncbigene:1958	ncbigene:8851	interacts	Gene	Gene
ncbigene:23118	ncbigene:1432	interacts	Gene	Gene
ncbigene:3452	ncbigene:5781	interacts	Gene	Gene
pubchem.compound:657298	ncbigene:3741	upregulates	Compound	Gene
ncbigene:2185	ncbigene:1956	interacts	Gene	Gene
ncbigene:23291	ncbigene:123879	interacts	Gene	Gene
ncbigene:7175	ncbigene:81608	interacts	Gene	Gene
ncbigene:4088	ncbigene:10284	interacts	Gene	Gene
ncbigene:3017	ncbigene:3817	interacts	Gene	Gene
ncbigene:79791	ncbigene:54951	interacts	Gene	Gene
ncbigene:51764	ncbigene:26086	interacts	Gene	Gene
ncbigene:2959	ncbigene:3456	interacts	Gene	Gene
ncbigene:2625	ncbigene:7031	interacts	Gene	Gene
pubchem.compound:5284616	ncbigene:3815	upregulates	Compound	Gene
ncbigene:7077	GO:0010951	participates	Gene	Biological Process
ncbigene:3159	ncbigene:57634	interacts	Gene	Gene
ncbigene:713	ncbigene:714	interacts	Gene	Gene
ncbigene:5432	ncbigene:10772	interacts	Gene	Gene
ncbigene:4629	ncbigene:4660	interacts	Gene	Gene
ncbigene:10018	ncbigene:5894	interacts	Gene	Gene
ncbigene:11258	ncbigene:4306	interacts	Gene	Gene
pubchem.compound:9444	GO:0048856	induces	Compound	Biological Process
ncbigene:3484	GO:0007165	participates	Gene	Biological Process
ncbigene:6198	ncbigene:28956	interacts	Gene	Gene
ncbigene:902	ncbigene:9656	interacts	Gene	Gene
ncbigene:55706	ncbigene:55339	interacts	Gene	Gene
ncbigene:84232	ncbigene:10670	interacts	Gene	Gene
ncbigene:583	ncbigene:54585	interacts	Gene	Gene
ncbigene:55294	ncbigene:283807	interacts	Gene	Gene
ncbigene:487	ncbigene:4854	interacts	Gene	Gene
ncbigene:10257	GO:0055085	participates	Gene	Biological Process
ncbigene:3688	ncbigene:6722	interacts	Gene	Gene
ncbigene:8468	ncbigene:56165	interacts	Gene	Gene
ncbigene:7706	ncbigene:64135	interacts	Gene	Gene
ncbigene:283807	ncbigene:26267	interacts	Gene	Gene
ncbigene:4208	ncbigene:5430	interacts	Gene	Gene
ncbigene:4790	ncbigene:3552	interacts	Gene	Gene
ncbigene:7428	GO:0006508	participates	Gene	Biological Process
ncbigene:22803	ncbigene:55813	interacts	Gene	Gene
ncbigene:6234	ncbigene:5822	interacts	Gene	Gene
pubchem.compound:3488	ncbigene:3758	downregulates	Compound	Gene
ncbigene:5576	ncbigene:2782	interacts	Gene	Gene
ncbigene:8825	ncbigene:10815	interacts	Gene	Gene
ncbigene:984	ncbigene:95681	interacts	Gene	Gene
ncbigene:1387	ncbigene:388585	interacts	Gene	Gene
ncbigene:10399	GO:0032880	participates	Gene	Biological Process
ncbigene:26224	ncbigene:150726	interacts	Gene	Gene
ncbigene:1045	GO:0030154	participates	Gene	Biological Process
ncbigene:2903	GO:0043065	participates	Gene	Biological Process
pubchem.compound:4497	ncbigene:779	downregulates	Compound	Gene
pubchem.compound:31703	ncbigene:4613	upregulates	Compound	Gene
ncbigene:2736	ncbigene:51715	interacts	Gene	Gene
ncbigene:22916	ncbigene:2962	interacts	Gene	Gene
ncbigene:7984	ncbigene:5879	interacts	Gene	Gene
ncbigene:6714	GO:0007049	participates	Gene	Biological Process
ncbigene:4801	ncbigene:2222	interacts	Gene	Gene
ncbigene:5290	ncbigene:5604	interacts	Gene	Gene
ncbigene:55746	ncbigene:9984	interacts	Gene	Gene
pubchem.compound:5280453	ncbigene:1015	downregulates	Compound	Gene
ncbigene:302	ncbigene:5340	interacts	Gene	Gene
pubchem.compound:702	ncbigene:54567	downregulates	Compound	Gene
ncbigene:2246	ncbigene:3845	interacts	Gene	Gene
ncbigene:902	ncbigene:2624	interacts	Gene	Gene
pubchem.compound:145068	ncbigene:1958	downregulates	Compound	Gene
ncbigene:5533	ncbigene:8871	interacts	Gene	Gene
ncbigene:26086	GO:0030154	participates	Gene	Biological Process
ncbigene:2168	ncbigene:3725	interacts	Gene	Gene
ncbigene:7479	ncbigene:11197	interacts	Gene	Gene
ncbigene:5468	ncbigene:1050	interacts	Gene	Gene
pubchem.compound:3339	ncbigene:5465	upregulates	Compound	Gene
ncbigene:10051	ncbigene:55766	interacts	Gene	Gene
pubchem.compound:3958	ncbigene:2562	upregulates	Compound	Gene
ncbigene:5578	ncbigene:23523	interacts	Gene	Gene
ncbigene:27152	ncbigene:2737	interacts	Gene	Gene
ncbigene:6232	ncbigene:57050	interacts	Gene	Gene
pubchem.compound:5833	GO:0007049	induces	Compound	Biological Process
pubchem.compound:3964	ncbigene:1816	downregulates	Compound	Gene
ncbigene:8218	ncbigene:22905	interacts	Gene	Gene
ncbigene:54165	ncbigene:26272	interacts	Gene	Gene
ncbigene:9846	GO:0007165	participates	Gene	Biological Process
pubchem.compound:5386	ncbigene:7298	downregulates	Compound	Gene
pubchem.compound:457193	GO:0050790	induces	Compound	Biological Process
ncbigene:6197	GO:0007165	participates	Gene	Biological Process
ncbigene:2554	GO:0007165	participates	Gene	Biological Process
ncbigene:84961	ncbigene:51397	interacts	Gene	Gene
ncbigene:1999	GO:0030198	participates	Gene	Biological Process
ncbigene:837	ncbigene:1982	interacts	Gene	Gene
pubchem.compound:5280343	ncbigene:3605	downregulates	Compound	Gene
ncbigene:991	ncbigene:84643	interacts	Gene	Gene
ncbigene:55208	ncbigene:283807	interacts	Gene	Gene
ncbigene:28952	ncbigene:26224	interacts	Gene	Gene
ncbigene:55109	ncbigene:5894	interacts	Gene	Gene
ncbigene:10438	ncbigene:6160	interacts	Gene	Gene
ncbigene:4660	ncbigene:4633	interacts	Gene	Gene
ncbigene:5054	GO:0010951	participates	Gene	Biological Process
ncbigene:5594	ncbigene:2002	interacts	Gene	Gene
ncbigene:5054	ncbigene:7050	interacts	Gene	Gene
ncbigene:112812	ncbigene:2395	interacts	Gene	Gene
ncbigene:4254	GO:0007155	participates	Gene	Biological Process
ncbigene:10499	ncbigene:2180	interacts	Gene	Gene
ncbigene:7248	ncbigene:6009	interacts	Gene	Gene
ncbigene:51755	ncbigene:672	interacts	Gene	Gene
ncbigene:6635	ncbigene:10772	interacts	Gene	Gene
ncbigene:9150	ncbigene:472	interacts	Gene	Gene
ncbigene:140735	ncbigene:5529	interacts	Gene	Gene
ncbigene:117246	ncbigene:9136	interacts	Gene	Gene
ncbigene:8743	GO:0007165	participates	Gene	Biological Process
ncbigene:2735	ncbigene:5928	interacts	Gene	Gene
ncbigene:58508	ncbigene:3674	interacts	Gene	Gene
ncbigene:1956	ncbigene:3320	interacts	Gene	Gene
ncbigene:3013	ncbigene:255626	interacts	Gene	Gene
pubchem.compound:31703	ncbigene:4318	upregulates	Compound	Gene
ncbigene:727	ncbigene:126006	interacts	Gene	Gene
ncbigene:50618	ncbigene:2060	interacts	Gene	Gene
pubchem.compound:9829523	GO:0010951	induces	Compound	Biological Process
ncbigene:4943	ncbigene:83452	interacts	Gene	Gene
ncbigene:5432	ncbigene:3178	interacts	Gene	Gene
ncbigene:4331	ncbigene:1111	interacts	Gene	Gene
ncbigene:984	ncbigene:9738	interacts	Gene	Gene
ncbigene:1477	ncbigene:10898	interacts	Gene	Gene
pubchem.compound:3339	ncbigene:57016	downregulates	Compound	Gene
ncbigene:730	ncbigene:732	interacts	Gene	Gene
ncbigene:6812	ncbigene:776	interacts	Gene	Gene
pubchem.compound:3463	ncbigene:4023	downregulates	Compound	Gene
pubchem.compound:3825	GO:0048646	induces	Compound	Biological Process
pubchem.compound:2315	ncbigene:6559	downregulates	Compound	Gene
ncbigene:56603	GO:0006805	participates	Gene	Biological Process
ncbigene:51308	ncbigene:81328	interacts	Gene	Gene
ncbigene:6300	GO:0007049	participates	Gene	Biological Process
ncbigene:6605	ncbigene:2960	interacts	Gene	Gene
ncbigene:728642	ncbigene:80254	interacts	Gene	Gene
ncbigene:6908	ncbigene:7027	interacts	Gene	Gene
ncbigene:55750	ncbigene:673	interacts	Gene	Gene
ncbigene:4085	ncbigene:25936	interacts	Gene	Gene
ncbigene:1063	ncbigene:57551	interacts	Gene	Gene
ncbigene:699	ncbigene:57551	interacts	Gene	Gene
ncbigene:57690	ncbigene:474382	interacts	Gene	Gene
ncbigene:54165	ncbigene:8453	interacts	Gene	Gene
ncbigene:5906	ncbigene:3265	interacts	Gene	Gene
ncbigene:8717	GO:0043065	participates	Gene	Biological Process
ncbigene:55750	ncbigene:5037	interacts	Gene	Gene
ncbigene:440275	ncbigene:1965	interacts	Gene	Gene
ncbigene:81030	ncbigene:147945	interacts	Gene	Gene
ncbigene:393	ncbigene:11015	interacts	Gene	Gene
ncbigene:10403	ncbigene:5525	interacts	Gene	Gene
ncbigene:8324	ncbigene:50855	interacts	Gene	Gene
ncbigene:4852	ncbigene:126006	interacts	Gene	Gene
pubchem.compound:4474	ncbigene:776	downregulates	Compound	Gene
ncbigene:222235	ncbigene:79791	interacts	Gene	Gene
ncbigene:29893	ncbigene:11144	interacts	Gene	Gene
ncbigene:3451	ncbigene:6773	interacts	Gene	Gene
pubchem.compound:5280453	ncbigene:8870	downregulates	Compound	Gene
pubchem.compound:2554	GO:0048646	induces	Compound	Biological Process
ncbigene:8345	ncbigene:23030	interacts	Gene	Gene
ncbigene:8823	GO:0007267	participates	Gene	Biological Process
pubchem.compound:37542	ncbigene:80237	upregulates	Compound	Gene
ncbigene:6773	ncbigene:3430	interacts	Gene	Gene
ncbigene:5604	ncbigene:369	interacts	Gene	Gene
ncbigene:1230	ncbigene:126006	interacts	Gene	Gene
ncbigene:9934	ncbigene:126006	interacts	Gene	Gene
pubchem.compound:4075	ncbigene:1956	downregulates	Compound	Gene
ncbigene:22919	ncbigene:1781	interacts	Gene	Gene
ncbigene:207	ncbigene:117145	interacts	Gene	Gene
ncbigene:10454	ncbigene:1540	interacts	Gene	Gene
ncbigene:1454	ncbigene:6231	interacts	Gene	Gene
ncbigene:1285	ncbigene:2161	interacts	Gene	Gene
ncbigene:10891	ncbigene:9370	interacts	Gene	Gene
ncbigene:7329	GO:0051301	participates	Gene	Biological Process
ncbigene:54892	ncbigene:29781	interacts	Gene	Gene
ncbigene:5581	GO:0007165	participates	Gene	Biological Process
ncbigene:84135	ncbigene:51202	interacts	Gene	Gene
ncbigene:58484	GO:0043065	participates	Gene	Biological Process
ncbigene:55127	ncbigene:51202	interacts	Gene	Gene
ncbigene:84128	ncbigene:51118	interacts	Gene	Gene
ncbigene:6187	ncbigene:9724	interacts	Gene	Gene
pubchem.compound:6013	ncbigene:866	upregulates	Compound	Gene
ncbigene:23209	ncbigene:5568	interacts	Gene	Gene
ncbigene:1452	GO:0051301	participates	Gene	Biological Process
