source	target	edge_type
ncbigene:10325	ncbigene:3075	interacts
ncbigene:7048	ncbigene:2782	interacts
ncbigene:2781	ncbigene:6667	interacts
ncbigene:3449	ncbigene:79310	interacts
ncbigene:84259	ncbigene:8826	upregulates
ncbigene:65083	ncbigene:2550	interacts
ncbigene:7477	ncbigene:5567	interacts
ncbigene:1813	ncbigene:4916	interacts
ncbigene:351	ncbigene:4893	interacts
ncbigene:1111	ncbigene:11218	interacts
ncbigene:5347	ncbigene:113878	interacts
ncbigene:26219	ncbigene:5601	interacts
ncbigene:338675	ncbigene:3566	interacts
ncbigene:9972	ncbigene:778	interacts
ncbigene:643	ncbigene:9528	interacts
ncbigene:23160	ncbigene:6714	interacts
ncbigene:10636	ncbigene:4208	interacts
ncbigene:378708	ncbigene:55839	interacts
ncbigene:5582	ncbigene:683	interacts
ncbigene:285093	ncbigene:51231	interacts
ncbigene:5594	ncbigene:401663	interacts
ncbigene:5468	ncbigene:4318	interacts
ncbigene:83540	ncbigene:2782	interacts
ncbigene:135948	ncbigene:79101	interacts
ncbigene:65055	ncbigene:23538	interacts
ncbigene:6778	ncbigene:63923	interacts
pubchem.compound:4184	ncbigene:3837	downregulates
ncbigene:65055	ncbigene:5451	interacts
ncbigene:8325	ncbigene:57405	interacts
ncbigene:5290	ncbigene:10885	interacts
ncbigene:55766	ncbigene:408	interacts
ncbigene:5925	ncbigene:816	interacts
ncbigene:3586	ncbigene:121129	interacts
ncbigene:4175	ncbigene:10403	interacts
ncbigene:5434	ncbigene:5156	interacts
ncbigene:5599	ncbigene:55212	interacts
ncbigene:868	ncbigene:3757	interacts
ncbigene:219959	ncbigene:5296	interacts
ncbigene:3827	ncbigene:4792	interacts
ncbigene:778	ncbigene:983	interacts
ncbigene:9459	ncbigene:3977	interacts
ncbigene:29945	ncbigene:26740	downregulates
ncbigene:6772	ncbigene:10369	interacts
ncbigene:6198	ncbigene:408	interacts
ncbigene:10726	ncbigene:4915	interacts
ncbigene:5594	ncbigene:6199	interacts
ncbigene:8737	ncbigene:84152	interacts
ncbigene:1062	ncbigene:123	interacts
ncbigene:3815	ncbigene:149233	interacts
ncbigene:7137	ncbigene:3619	interacts
ncbigene:56832	ncbigene:4313	interacts
ncbigene:1388	ncbigene:27042	interacts
ncbigene:9421	ncbigene:219865	interacts
ncbigene:10724	ncbigene:21	interacts
ncbigene:9448	ncbigene:3161	interacts
ncbigene:10726	ncbigene:22801	interacts
ncbigene:29893	ncbigene:7476	interacts
ncbigene:5594	ncbigene:3594	interacts
ncbigene:2100	ncbigene:8321	downregulates
ncbigene:23517	ncbigene:1520	interacts
pubchem.compound:564	ncbigene:2356	interacts
ncbigene:1453	ncbigene:80198	interacts
ncbigene:7020	ncbigene:81565	interacts
ncbigene:83597	ncbigene:140465	downregulates
ncbigene:65055	ncbigene:492	interacts
ncbigene:4763	ncbigene:4342	interacts
ncbigene:27006	ncbigene:516	interacts
ncbigene:6827	ncbigene:6300	interacts
ncbigene:59283	ncbigene:5527	interacts
ncbigene:5502	ncbigene:4656	interacts
ncbigene:1063	ncbigene:5599	interacts
ncbigene:6772	ncbigene:5721	interacts
ncbigene:596	ncbigene:26259	interacts
ncbigene:4914	ncbigene:72	interacts
ncbigene:6256	ncbigene:3562	interacts
ncbigene:6773	ncbigene:439996	interacts
ncbigene:2932	ncbigene:84128	interacts
ncbigene:1060	ncbigene:1524	interacts
ncbigene:5590	ncbigene:53833	upregulates
ncbigene:10298	ncbigene:2788	interacts
ncbigene:55055	ncbigene:220074	interacts
ncbigene:1855	ncbigene:5465	interacts
ncbigene:5156	ncbigene:1445	interacts
ncbigene:2950	ncbigene:51182	interacts
ncbigene:5599	ncbigene:5898	interacts
ncbigene:219954	ncbigene:255189	interacts
ncbigene:6361	ncbigene:55127	downregulates
ncbigene:2912	ncbigene:4205	interacts
ncbigene:393	ncbigene:1058	interacts
ncbigene:5566	ncbigene:4173	interacts
ncbigene:5526	ncbigene:10398	interacts
ncbigene:79295	ncbigene:7454	interacts
ncbigene:100132074	ncbigene:220134	interacts
ncbigene:5533	ncbigene:5029	interacts
ncbigene:1386	ncbigene:103910	interacts
ncbigene:4780	ncbigene:23160	interacts
ncbigene:5595	ncbigene:192670	interacts
ncbigene:403273	ncbigene:2048	interacts
ncbigene:10772	ncbigene:341152	interacts
ncbigene:5593	ncbigene:51602	interacts
pubchem.compound:4011	ncbigene:22977	interacts
ncbigene:2550	ncbigene:8036	interacts
ncbigene:284521	ncbigene:5520	interacts
ncbigene:122740	ncbigene:409	interacts
ncbigene:81565	ncbigene:55215	interacts
ncbigene:4205	ncbigene:3667	interacts
pubchem.compound:3488	ncbigene:8321	interacts
ncbigene:6203	ncbigene:6208	interacts
ncbigene:3448	ncbigene:5566	interacts
ncbigene:5528	ncbigene:1237	interacts
ncbigene:10403	ncbigene:29775	interacts
ncbigene:63916	ncbigene:79176	interacts
ncbigene:1432	ncbigene:5516	interacts
ncbigene:5021	ncbigene:2693	interacts
pubchem.compound:5280453	ncbigene:3661	interacts
ncbigene:9416	ncbigene:3588	interacts
ncbigene:80346	ncbigene:5654	downregulates
ncbigene:2255	ncbigene:2782	interacts
ncbigene:9212	ncbigene:537	interacts
ncbigene:29893	ncbigene:22800	interacts
ncbigene:9971	ncbigene:5576	interacts
ncbigene:10928	ncbigene:144455	interacts
ncbigene:1270	ncbigene:144699	interacts
ncbigene:3976	ncbigene:6095	downregulates
ncbigene:81930	ncbigene:3767	interacts
ncbigene:3619	ncbigene:25870	interacts
ncbigene:5599	ncbigene:2119	upregulates
ncbigene:5600	ncbigene:5781	interacts
ncbigene:51764	ncbigene:3157	interacts
ncbigene:285231	ncbigene:6385	interacts
pubchem.compound:5284616	ncbigene:4843	interacts
ncbigene:65055	ncbigene:84085	upregulates
ncbigene:114049	ncbigene:406917	downregulates
ncbigene:5594	ncbigene:79784	interacts
ncbigene:79172	ncbigene:25898	interacts
ncbigene:6929	ncbigene:2837	interacts
ncbigene:6722	ncbigene:2538	interacts
ncbigene:9241	ncbigene:11035	interacts
ncbigene:3294	ncbigene:114	interacts
ncbigene:4633	ncbigene:135941	interacts
ncbigene:3815	ncbigene:5501	interacts
ncbigene:65055	ncbigene:332	interacts
ncbigene:51561	ncbigene:778	interacts
ncbigene:6773	ncbigene:6633	interacts
ncbigene:6773	ncbigene:27161	interacts
ncbigene:4067	ncbigene:3685	interacts
ncbigene:4303	ncbigene:26043	interacts
ncbigene:10636	ncbigene:29899	interacts
ncbigene:387	ncbigene:6194	interacts
ncbigene:8471	ncbigene:6309	interacts
ncbigene:3630	ncbigene:64241	interacts
ncbigene:10458	ncbigene:5499	interacts
ncbigene:3445	ncbigene:898	interacts
ncbigene:115290	ncbigene:5331	interacts
ncbigene:84441	ncbigene:5604	interacts
ncbigene:4086	ncbigene:5921	interacts
ncbigene:5970	ncbigene:3177	interacts
ncbigene:151648	ncbigene:8326	interacts
ncbigene:6773	ncbigene:23309	interacts
ncbigene:378708	ncbigene:9184	interacts
ncbigene:6202	ncbigene:6428	interacts
ncbigene:4790	ncbigene:8345	interacts
ncbigene:138883	ncbigene:6773	interacts
ncbigene:3480	ncbigene:9735	interacts
ncbigene:55166	ncbigene:23332	interacts
ncbigene:4089	ncbigene:390429	interacts
pubchem.compound:4737	ncbigene:81930	interacts
ncbigene:390078	ncbigene:207	interacts
ncbigene:1060	ncbigene:2784	interacts
ncbigene:2719	ncbigene:6418	interacts
ncbigene:865	ncbigene:5624	interacts
ncbigene:120065	ncbigene:10000	interacts
ncbigene:2353	ncbigene:6470	interacts
ncbigene:10051	ncbigene:9564	interacts
ncbigene:6929	ncbigene:6237	interacts
ncbigene:6262	ncbigene:5518	interacts
ncbigene:23517	ncbigene:4085	interacts
ncbigene:93	ncbigene:3796	interacts
ncbigene:3458	ncbigene:4842	interacts
ncbigene:23478	ncbigene:11145	interacts
ncbigene:1045	ncbigene:5500	interacts
ncbigene:26354	ncbigene:285231	interacts
ncbigene:1129	ncbigene:84085	downregulates
ncbigene:6850	ncbigene:3566	interacts
pubchem.compound:53232	ncbigene:10735	interacts
ncbigene:7043	ncbigene:408	interacts
ncbigene:142	ncbigene:3796	interacts
ncbigene:8717	ncbigene:3570	interacts
pubchem.compound:2733526	ncbigene:25828	interacts
ncbigene:9232	ncbigene:30009	downregulates
ncbigene:2185	ncbigene:255626	interacts
ncbigene:786	ncbigene:406928	interacts
ncbigene:9241	ncbigene:59	interacts
ncbigene:79923	ncbigene:5595	interacts
ncbigene:55055	ncbigene:1942	interacts
ncbigene:1387	ncbigene:7275	interacts
ncbigene:5073	ncbigene:140735	interacts
ncbigene:55143	ncbigene:6515	interacts
pubchem.compound:31703	ncbigene:10403	interacts
ncbigene:2962	ncbigene:4170	interacts
ncbigene:55746	ncbigene:7422	interacts
ncbigene:4008	ncbigene:4724	interacts
ncbigene:2963	ncbigene:53833	interacts
ncbigene:904	ncbigene:26234	interacts
ncbigene:9955	ncbigene:4853	interacts
ncbigene:51655	ncbigene:8536	interacts
ncbigene:6773	ncbigene:3594	interacts
ncbigene:6772	ncbigene:5590	interacts
ncbigene:29949	ncbigene:6654	interacts
ncbigene:4852	ncbigene:353088	interacts
ncbigene:5157	ncbigene:3568	interacts
ncbigene:3350	ncbigene:84259	interacts
ncbigene:83540	ncbigene:3276	interacts
ncbigene:285093	ncbigene:632	interacts
ncbigene:9241	ncbigene:84261	interacts
