source	target	edge_type	source_node_type	target_node_type
ncbigene:6622	ncbigene:6477	interacts	Gene	Gene
ncbigene:6622	GO:0043065	participates	Gene	Biological Process
ncbigene:3308	GO:0006457	participates	Gene	Biological Process
ncbigene:2885	GO:0007165	participates	Gene	Biological Process
ncbigene:5295	GO:0050821	participates	Gene	Biological Process
ncbigene:6654	GO:0007165	participates	Gene	Biological Process
ncbigene:4908	ncbigene:6654	interacts	Gene	Gene
ncbigene:4908	GO:0007165	participates	Gene	Biological Process
ncbigene:4908	GO:0007267	participates	Gene	Biological Process
ncbigene:4909	ncbigene:57498	interacts	Gene	Gene
ncbigene:4915	GO:0007275	participates	Gene	Biological Process
ncbigene:1020	GO:0006913	participates	Gene	Biological Process
ncbigene:1020	GO:0007005	participates	Gene	Biological Process
ncbigene:1020	GO:0051301	participates	Gene	Biological Process
ncbigene:4137	ncbigene:1020	interacts	Gene	Gene
ncbigene:4137	ncbigene:407042	interacts	Gene	Gene
ncbigene:4137	GO:0007267	participates	Gene	Biological Process
ncbigene:5604	ncbigene:1000	interacts	Gene	Gene
ncbigene:5604	GO:0007165	participates	Gene	Biological Process
ncbigene:81565	ncbigene:9793	interacts	Gene	Gene
ncbigene:81565	ncbigene:991	interacts	Gene	Gene
ncbigene:81565	GO:0007059	participates	Gene	Biological Process
ncbigene:7531	ncbigene:1020	interacts	Gene	Gene
ncbigene:7531	ncbigene:51176	interacts	Gene	Gene
ncbigene:7531	GO:0006605	participates	Gene	Biological Process
ncbigene:7531	GO:0007165	participates	Gene	Biological Process
ncbigene:54205	ncbigene:3315	interacts	Gene	Gene
ncbigene:317	GO:0030154	participates	Gene	Biological Process
ncbigene:317	GO:0043065	participates	Gene	Biological Process
ncbigene:1432	GO:0000902	participates	Gene	Biological Process
ncbigene:1432	GO:0007165	participates	Gene	Biological Process
ncbigene:5591	GO:0043065	participates	Gene	Biological Process
ncbigene:58	ncbigene:5295	interacts	Gene	Gene
ncbigene:839	GO:0006508	participates	Gene	Biological Process
ncbigene:839	GO:0016540	participates	Gene	Biological Process
ncbigene:839	GO:0043065	participates	Gene	Biological Process
ncbigene:840	GO:0006508	participates	Gene	Biological Process
ncbigene:840	GO:0016485	participates	Gene	Biological Process
ncbigene:840	GO:0051604	participates	Gene	Biological Process
ncbigene:10769	ncbigene:7531	interacts	Gene	Gene
ncbigene:10769	ncbigene:7161	interacts	Gene	Gene
ncbigene:1263	ncbigene:7531	interacts	Gene	Gene
ncbigene:1647	GO:0043065	participates	Gene	Biological Process
ncbigene:25946	ncbigene:2810	interacts	Gene	Gene
