	Hits@1	Hits@3	Hits@10	MRR
PoLo	(0.244, 0.014)	(0.498, 0.011)	(0.767, 0.014)	(0.407, 0.01)
PoLo (pruned)	(0.068, 0.004)	(0.095, 0.003)	(0.098, 0.003)	(0.081, 0.003)
PoLo-1	(0.237, 0.029)	(0.487, 0.036)	(0.739, 0.004)	(0.393, 0.024)
PoLo-1 (pruned)	(0.096, 0.02)	(0.125, 0.051)	(0.141, 0.072)	(0.112, 0.038)
PoLo-1-alpha_0.1	(0.257, 0.008)	(0.508, 0.023)	(0.759, 0.011)	(0.418, 0.011)
PoLo-1-alpha_0.1 (pruned)	(0.085, 0.023)	(0.132, 0.033)	(0.155, 0.046)	(0.111, 0.03)
PoLo-2	(0.247, 0.014)	(0.52, 0.016)	(0.775, 0.022)	(0.412, 0.012)
PoLo-2 (pruned)	(0.07, 0.003)	(0.097, 0.005)	(0.104, 0.009)	(0.084, 0.003)
PoLo-2_alpha_0.1	(0.261, 0.014)	(0.509, 0.024)	(0.765, 0.014)	(0.42, 0.013)
PoLo-2_alpha_0.1 (pruned)	(0.094, 0.018)	(0.137, 0.029)	(0.156, 0.031)	(0.117, 0.022)
